술이름,가격_KRW,위치,가져온날짜,출처,신뢰도,비고
잭다니엘스 애플 1L,55900,코스트코,2026-05-05,유튜브 @whiskeypick / S3YrdtxmRX4 @ 2:28,중,조사 2026-05-05(촬영일)
벨즈 스카치 위스키 1L,17790,코스트코,2026-05-05,유튜브 @whiskeypick / S3YrdtxmRX4 @ 2:48,중,조사 2026-05-05(촬영일)
제임슨 아이리시 위스키 700ml,26690,코스트코,2026-05-05,유튜브 @whiskeypick / S3YrdtxmRX4 @ 3:17,중,조사 2026-05-05(촬영일)
커클랜드 시그니처 꼬약 XO 750ml,147900,코스트코,2026-05-05,유튜브 @whiskeypick / S3YrdtxmRX4 @ 4:27,중,조사 2026-05-05(촬영일)
산토리 위스키 각쿠빈 700ml,27690,코스트코,2026-05-05,유튜브 @whiskeypick / S3YrdtxmRX4 @ 5:32,중,조사 2026-05-05(촬영일)
포 로지스 스몰배치 셀렉트 750ml,116800,트레이더스,2026-05-04,유튜브 @whiskeypick / NjmXN3IY9CE @ 0:19,중,조사 2026-05-04(촬영일)
파클라스 15년 700ml,119400,트레이더스,2026-05-04,유튜브 @whiskeypick / NjmXN3IY9CE @ 0:33,중,조사 2026-05-04(촬영일)
발베니 14년 캐리비안 캐스크 700ml,139800,트레이더스,2026-05-04,유튜브 @whiskeypick / NjmXN3IY9CE @ 0:47,중,조사 2026-05-04(촬영일)
아벨라워 아브나흐 쉐리케스크 에디션 700ml,235800,트레이더스,2026-05-04,유튜브 @whiskeypick / NjmXN3IY9CE @ 0:58,중,조사 2026-05-04(촬영일)
조니워커 블루라베 750mml,259800,트레이더스,2026-05-04,유튜브 @whiskeypick / NjmXN3IY9CE @ 1:14,중,조사 2026-05-04(촬영일)
에반윌리엄스 12년 750ml,99800,트레이더스,2026-05-04,유튜브 @whiskeypick / NjmXN3IY9CE @ 1:57,중,조사 2026-05-04(촬영일)
맥캘란 12년 더블 캐스크 700ml,99800,트레이더스,2026-05-04,유튜브 @whiskeypick / NjmXN3IY9CE @ 2:27,중,조사 2026-05-04(촬영일)
포 로지스 싱글 베럴 750ml,82800,트레이더스,2026-05-04,유튜브 @whiskeypick / NjmXN3IY9CE @ 2:53,중,조사 2026-05-04(촬영일)
아란 쉐리케스크 700ml,99800,트레이더스,2026-05-04,유튜브 @whiskeypick / NjmXN3IY9CE @ 3:06,중,조사 2026-05-04(촬영일)
글렌리벳 15년 700ml,94800,트레이더스,2026-05-04,유튜브 @whiskeypick / NjmXN3IY9CE @ 3:19,중,조사 2026-05-04(촬영일)
탈리스커 와일드 블루 700ml,84800,트레이더스,2026-05-04,유튜브 @whiskeypick / NjmXN3IY9CE @ 3:32,중,조사 2026-05-04(촬영일)
러셀 리저브 싱글 배럴 750ml,99800,트레이더스,2026-05-04,유튜브 @whiskeypick / NjmXN3IY9CE @ 3:59,중,조사 2026-05-04(촬영일)
글렌알라키 10년 루비포트 700ml,89800,트레이더스,2026-05-04,유튜브 @whiskeypick / NjmXN3IY9CE @ 4:12,중,조사 2026-05-04(촬영일)
이글레어 10년 750ml,74800,트레이더스,2026-05-04,유튜브 @whiskeypick / NjmXN3IY9CE @ 4:27,중,조사 2026-05-04(촬영일)
글렌그란트 12년 700ml,69800,트레이더스,2026-05-04,유튜브 @whiskeypick / NjmXN3IY9CE @ 4:40,중,조사 2026-05-04(촬영일)
에버펠 16년 700ml,75800,트레이더스,2026-05-04,유튜브 @whiskeypick / NjmXN3IY9CE @ 4:53,중,조사 2026-05-04(촬영일)
글렌피딕 12년 700ml,69800,트레이더스,2026-05-04,유튜브 @whiskeypick / NjmXN3IY9CE @ 5:06,중,조사 2026-05-04(촬영일)
와일드 터키 레어브리드 750ml,79800,트레이더스,2026-05-04,유튜브 @whiskeypick / NjmXN3IY9CE @ 5:31,중,조사 2026-05-04(촬영일)
카발란 디스틸러리 셀렉트 싱글 700ml,69800,트레이더스,2026-05-04,유튜브 @whiskeypick / NjmXN3IY9CE @ 5:48,중,조사 2026-05-04(촬영일)
듀어스 15년 파인노크 스페셜 리저브 700ml,59400,트레이더스,2026-05-04,유튜브 @whiskeypick / NjmXN3IY9CE @ 6:32,중,조사 2026-05-04(촬영일)
라프로익 10년 750ml,69800,트레이더스,2026-05-04,유튜브 @whiskeypick / NjmXN3IY9CE @ 6:43,중,조사 2026-05-04(촬영일)
조니워커 블랙 누루비 700ml,54800,트레이더스,2026-05-04,유튜브 @whiskeypick / NjmXN3IY9CE @ 7:35,중,조사 2026-05-04(촬영일)
잭다니엘 테네시 700ml 전용잔 패키지,39980,트레이더스,2026-05-04,유튜브 @whiskeypick / NjmXN3IY9CE @ 8:00,중,조사 2026-05-04(촬영일)
잭다니엘 애플 700ml 전용잔 패키지,39980,트레이더스,2026-05-04,유튜브 @whiskeypick / NjmXN3IY9CE @ 8:19,중,조사 2026-05-04(촬영일)
몽키 숄더 700ml,49980,트레이더스,2026-05-04,유튜브 @whiskeypick / NjmXN3IY9CE @ 8:38,중,조사 2026-05-04(촬영일)
1792 스몰 배치 750ml,44980,트레이더스,2026-05-04,유튜브 @whiskeypick / NjmXN3IY9CE @ 8:56,중,조사 2026-05-04(촬영일)
뱅크홀 싱글트 위스키 700ml,29940,트레이더스,2026-05-04,유튜브 @whiskeypick / NjmXN3IY9CE @ 9:05,중,조사 2026-05-04(촬영일)
골든 블루 사피루스 450ml,28980,트레이더스,2026-05-04,유튜브 @whiskeypick / NjmXN3IY9CE @ 9:20,중,조사 2026-05-04(촬영일)
듀어스 12년 퍼스트필 버번 캐스크 700ml,39980,트레이더스,2026-05-04,유튜브 @whiskeypick / NjmXN3IY9CE @ 9:32,중,조사 2026-05-04(촬영일)
에반 윌리엄스 BIB 12주년 에디션 50도 1L,35980,트레이더스,2026-05-04,유튜브 @whiskeypick / NjmXN3IY9CE @ 9:59,중,조사 2026-05-04(촬영일)
에반 윌리엄스 블랙 1L,33980,트레이더스,2026-05-04,유튜브 @whiskeypick / NjmXN3IY9CE @ 10:13,중,조사 2026-05-04(촬영일)
가쿠빈 700ml,29980,트레이더스,2026-05-04,유튜브 @whiskeypick / NjmXN3IY9CE @ 10:28,중,조사 2026-05-04(촬영일)
발렌타인 10년 700ml,39980,트레이더스,2026-05-04,유튜브 @whiskeypick / NjmXN3IY9CE @ 10:40,중,조사 2026-05-04(촬영일)
제임슨 스탠더드 700ml,27980,트레이더스,2026-05-04,유튜브 @whiskeypick / NjmXN3IY9CE @ 11:07,중,조사 2026-05-04(촬영일)
발렌타인 파이니스트 1L,28980,트레이더스,2026-05-04,유튜브 @whiskeypick / NjmXN3IY9CE @ 11:33,중,조사 2026-05-04(촬영일)
진빔 화이트 750mml,19980,트레이더스,2026-05-04,유튜브 @whiskeypick / NjmXN3IY9CE @ 11:59,중,조사 2026-05-04(촬영일)
글렌피딕 14년 버번 캐스크 700ml,99800,트레이더스,2026-05-04,유튜브 @whiskeypick / NjmXN3IY9CE @ 12:37,중,조사 2026-05-04(촬영일)
글렌피딕 15년 700ml,99800,트레이더스,2026-05-04,유튜브 @whiskeypick / NjmXN3IY9CE @ 12:49,중,조사 2026-05-04(촬영일)
잭다니엘 싱글배럴 잔패키지,102900,코스트코,2026-05-30,WebScrape(costcome.com(코스트컴)),중,"정본=w066(잭다니엘 No.7); 코스트코 매장가(점포미상), costcome.com(코스트컴) 추적; https://costcome.com/jack-daniels-single-barr/"
잭다니엘 테네시 위스키 1L 잔패키지,57900,코스트코,2026-05-30,WebScrape(costcome.com(코스트컴)),중,"정본=w066(잭다니엘 No.7); 코스트코 매장가(점포미상), costcome.com(코스트컴) 추적; https://costcome.com/jack-daniels-1l-vap/"
발렌타인 17년산,136900,코스트코,2026-05-30,WebScrape(costcome.com(코스트컴)),중,"코스트코 매장가(점포미상), costcome.com(코스트컴) 추적; https://costcome.com/ballantines-17yo-whiskey/"
커클랜드 15년 하일랜드 싱글몰트 위스키,133900,코스트코,2026-05-30,WebScrape(costcome.com(코스트컴)),중,"코스트코 매장가(점포미상), costcome.com(코스트컴) 추적; https://costcome.com/kirkland-signature-15-years-highland-single-malt-whiskey/"
더 글렌리벳 15년 싱글몰트 위스키,106900,코스트코,2026-05-30,WebScrape(costcome.com(코스트컴)),중,"정본=w002(글렌리벳 15년); 코스트코 매장가(점포미상), costcome.com(코스트컴) 추적; https://costcome.com/the-glenlivet-15yo/"
조니워커 블랙라벨 12년 700,40790,코스트코,2026-05-30,WebScrape(costcome.com(코스트컴)),중,"정본=w050(조니워커 블랙라벨 12년); 코스트코 매장가(점포미상), costcome.com(코스트컴) 추적; https://costcome.com/johnnie-walker-black-700ml/"
시바스리갈 12년산,63900,코스트코,2026-05-30,WebScrape(costcome.com(코스트컴)),중,"정본=w048(시바스 리갈 12년); 코스트코 매장가(점포미상), costcome.com(코스트컴) 추적; https://costcome.com/chivas-regal-12yo/"
커클랜드 시그니처 스카치 위스키 1.75L,32490,코스트코,2026-05-30,WebScrape(costcome.com(코스트컴)),중,"코스트코 매장가(점포미상), costcome.com(코스트컴) 추적; https://costcome.com/kirkland-signature-blended-scotch-whiskey-1-75l-costco-price-summary/"
커클랜드 시그니처 캐나디안 위스키 1.75L,34990,코스트코,2026-05-30,WebScrape(costcome.com(코스트컴)),중,"코스트코 매장가(점포미상), costcome.com(코스트컴) 추적; https://costcome.com/kirkland-signature-canadian-whiskey-1-75l-costco-price-summary/"
