위스키명,브랜드,면세_정상가_USD,면세_할인가_USD,면세_할인율_%,면세_KRW,면세용량_ml,면세_₩100ml,데일리샷_KRW,데일리샷_USD,데일리샷용량_ml,데일리샷_₩100ml,데일리샷매칭명,면세vs데샷_병당_KRW,면세vs데샷_병당_USD,면세vs데샷_병당_%,면세vs데샷_100ml_%,면세가_더쌈,구매가능,상품URL
라가불린 10년 700ml,라가불린,91.0,86.45,5.0,126851,700,18122,124000,84.51,700,17714,라가불린 10년,-2851,-1.94,-2.3,-2.3,N,N,https://www.shilladfs.com/estore/kr/ko/p/5704238
더 글렌그란트 10년 1000ml,더 글렌그란트,62.0,49.6,20.0,72780,1000,7278,49000,33.39,700,7000,더 글렌그란트 10년,-23780,-16.21,-48.5,-4.0,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5173311
엘리먼츠오브아일라 쉐리캐스크 700ml,엘리먼츠 오브 아일라,119.0,107.1,10.0,157152,700,22450,150000,102.23,700,21429,엘리먼츠 오브 아일라 셰리 캐스크,-7152,-4.87,-4.8,-4.8,N,N,https://www.shilladfs.com/estore/kr/ko/p/5372479
더 글렌그란트 21년 700ml,더 글렌그란트,340.0,272.0,20.0,399115,700,57016,380000,258.97,700,54286,더 글렌그란트 21년,-19115,-13.03,-5.0,-5.0,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5300501
몰트락 16년 750ml,몰트락,129.0,122.55,5.0,179822,750,23976,159800,108.9,700,22829,몰트락 16년,-20022,-13.65,-12.5,-5.0,N,N,https://www.shilladfs.com/estore/kr/ko/p/5082282
글렌카담 13년 700ml,글렌카담,95.0,90.25,5.0,132427,700,18918,126000,85.87,700,18000,글렌카담 13년,-6427,-4.38,-5.1,-5.1,N,N,https://www.shilladfs.com/estore/kr/ko/p/5358800
로얄브라클라 12년 1000ml,로얄브라클라,97.0,92.15,5.0,135215,1000,13522,89900,61.27,700,12843,로얄 브라클라 12년,-45315,-30.88,-50.4,-5.3,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5472423
듀어스 12년 1000ml,듀어스,52.0,49.4,5.0,72486,1000,7249,48000,32.71,700,6857,듀어스 12년 700ml,-24486,-16.69,-51.0,-5.7,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5070785
맥캘란 GTR12년 700ml,맥캘란,83.0,78.85,5.0,115699,700,16528,109000,74.28,700,15571,맥캘란 12년 더블 캐스크,-6699,-4.57,-6.1,-6.1,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5430962
글렌카담 아메리칸 오크 리저브 700ml,글렌카담,45.0,42.75,5.0,62729,700,8961,59000,40.21,700,8429,글렌카담 아메리칸 오크 리저브,-3729,-2.54,-6.3,-6.3,N,N,https://www.shilladfs.com/estore/kr/ko/p/5358802
조니워커 레드 1L,조니워커,29.0,27.55,5.0,40425,1000,4042,26500,18.06,700,3786,조니워커 레드 700ml,-13925,-9.49,-52.5,-6.8,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5817684
주라 IE 3 1000ml,주라,69.0,61.41,11.0,90109,1000,9011,59000,40.21,700,8429,주라 레드 와인 캐스크 에디션,-31109,-21.2,-52.7,-6.9,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5462592
맥캘란 GTR15년 700ml,맥캘란,168.0,159.6,5.0,234187,700,33455,217900,148.5,700,31129,맥캘란 15년 더블 캐스크 & 파쏘아,-16287,-11.1,-7.5,-7.5,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5430961
글렌카담 10년 700ml,글렌카담,62.0,58.9,5.0,86426,700,12347,80000,54.52,700,11429,글렌카담 10년,-6426,-4.38,-8.0,-8.0,N,N,https://www.shilladfs.com/estore/kr/ko/p/5358799
마르스 몰티지 코스모 700ml,마르스,138.0,110.4,20.0,161994,700,23142,149900,102.16,700,21414,마르스 몰티지 코스모 와인 캐스크 피니시 2023,-12094,-8.24,-8.1,-8.1,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5157332
오켄토션 아메리칸 오크 1000ml,오켄토션,59.0,25.37,57.0,37226,1000,3723,23900,16.29,700,3414,오켄토션 아메리칸 오크,-13326,-9.08,-55.8,-9.0,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5166856
NEW 올트모어 21년 (깔바도스) 500ml,올트모어,199.0,189.05,5.0,277400,500,55480,350000,238.53,700,50000,올트모어 21년,72600,49.48,20.7,-11.0,N,N,https://www.shilladfs.com/estore/kr/ko/p/5560834
글렌알라키 18Y(24RB) 700mL,글렌알라키,271.0,257.45,5.0,377765,700,53966,339000,231.03,700,48429,글렌알라키 18년,-38765,-26.42,-11.4,-11.4,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5691284
맥캘란 GTR18년 700ml,맥캘란,353.0,335.35,5.0,492071,700,70296,429900,292.98,700,61414,맥캘란 18년 더블 캐스크,-62171,-42.37,-14.5,-14.5,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5430959
시바스리갈 12년 200ml,시바스리갈,11.0,10.45,5.0,15334,200,7667,49900,34.01,750,6653,시바스 리갈 12년 750ml,34566,23.56,69.3,-15.2,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5070401
라프로익 PX Cask 1000ml,라프로익,120.0,114.0,5.0,167276,1000,16728,145000,98.82,1000,14500,라프로익 PX 캐스크 1L,-22276,-15.18,-15.4,-15.4,N,Y,https://www.shilladfs.com/estore/kr/ko/p/3333183
섀클턴 1000ml,섀클턴,58.0,55.1,5.0,80850,1000,8085,49000,33.39,700,7000,섀클턴,-31850,-21.71,-65.0,-15.5,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5166834
시바스리갈 18년산 700ml,시바스리갈,88.0,83.6,5.0,122669,700,17524,105000,71.56,700,15000,시바스 리갈 18년 700ml,-17669,-12.04,-16.8,-16.8,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5573453
글렌모레이 12년 1000ml,글렌모레이,72.0,68.4,5.0,100366,1000,10037,59000,40.21,700,8429,글렌 모레이 12년,-41366,-28.19,-70.1,-19.1,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5313551
발렌타인 17년 RESTAGE 700ml,발렌타인,94.0,89.3,5.0,131033,700,18719,109000,74.28,700,15571,발렌타인 17년 700ml,-22033,-15.02,-20.2,-20.2,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5068792
탈리스커 10년 1L ,탈리스커,85.0,80.75,5.0,118487,1000,11849,69000,47.02,700,9857,탈리스커 10년,-49487,-33.73,-71.7,-20.2,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5604485
더 글렌리벳 12년 1000ml,글렌리벳,75.0,71.25,5.0,104548,1000,10455,60900,41.5,700,8700,더 글렌리벳 12년,-43648,-29.75,-71.7,-20.2,N,N,https://www.shilladfs.com/estore/kr/ko/p/5615979
시바스리갈 18년 200ml,시바스리갈,26.0,24.7,5.0,36243,200,18122,105000,71.56,700,15000,시바스 리갈 18년 700ml,68757,46.86,65.5,-20.8,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5075893
라가불린 16년 700ml,라가불린,122.0,115.9,5.0,170064,700,24295,139900,95.34,700,19986,라가불린 16년,-30164,-20.56,-21.6,-21.6,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5358630
조니워커 블루 1000ml,조니워커,302.0,286.9,5.0,420978,1000,42098,259000,176.51,750,34533,조니워커 블루 750ml,-161978,-110.39,-62.5,-21.9,N,Y,https://www.shilladfs.com/estore/kr/ko/p/287145
조니워커 블루 750ml,조니워커,227.0,215.65,5.0,316431,750,42191,259000,176.51,750,34533,조니워커 블루 750ml,-57431,-39.14,-22.2,-22.2,N,Y,https://www.shilladfs.com/estore/kr/ko/p/287148
로얄살루트 21년 1000ml,로얄살루트,251.0,238.45,5.0,349886,1000,34989,198000,134.94,700,28286,로얄살루트 21년 700ml,-151886,-103.51,-76.7,-23.7,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5170470
글렌알라키 8년 700ml,글렌알라키,91.0,67.34,26.0,98810,700,14116,79900,54.45,700,11414,글렌알라키 8년,-18910,-12.89,-23.7,-23.7,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5249072
로얄살루트 21년 700ml,로얄살루트,176.0,167.2,5.0,245338,700,35048,198000,134.94,700,28286,로얄살루트 21년 700ml,-47338,-32.26,-23.9,-23.9,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5081230
로얄살루트 21년 LNY25 700ml,로얄살루트,176.0,167.2,5.0,245338,700,35048,198000,134.94,700,28286,로얄살루트 21년 700ml,-47338,-32.26,-23.9,-23.9,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5661900
조니워커 블랙 1000ml,조니워커,56.0,53.2,5.0,78062,1000,7806,44000,29.99,700,6286,조니워커 블랙 700ml,-34062,-23.21,-77.4,-24.2,N,Y,https://www.shilladfs.com/estore/kr/ko/p/26127
글렌모렌지 팔로 코르타도 12년 700ml,글렌모렌지,89.0,66.75,25.0,97945,700,13992,84000,57.25,750,11200,글렌모렌지 라산타 12년 750ml,-13945,-9.5,-16.6,-24.9,N,Y,https://www.shilladfs.com/estore/kr/ko/p/6013490
발렌타인 21년 아티스트 에디션 5 700ml,발렌타인,167.0,158.65,5.0,232793,700,33256,185000,126.08,700,26429,발렌타인 21년,-47793,-32.57,-25.8,-25.8,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5945876
발렌타인 21년 500ml,발렌타인,121.0,114.95,5.0,168670,500,33734,185000,126.08,700,26429,발렌타인 21년,16330,11.13,8.8,-27.6,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5900540
발렌타인 21년 RESTAGE 700ml,발렌타인,170.0,161.5,5.0,236974,700,33853,185000,126.08,700,26429,발렌타인 21년,-51974,-35.42,-28.1,-28.1,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5068647
탐나불린 1000ml,탐나불린,56.0,49.84,11.0,73132,1000,7313,39900,27.19,700,5700,탐나불린 더블 캐스크,-33232,-22.65,-83.3,-28.3,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5166845
탐나불린 SB 1000ml,탐나불린,56.0,50.4,10.0,73954,1000,7395,39900,27.19,700,5700,탐나불린 더블 캐스크,-34054,-23.21,-85.3,-29.7,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5462651
ABERLOUR 18년 700ml,발렌타인,215.0,150.5,30.0,220834,700,31548,170000,115.86,700,24286,발렌타인 싱글몰트 글렌버기 18년,-50834,-34.64,-29.9,-29.9,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5837406
글렌알라키 12년 (24RB) 700ml,글렌알라키,107.0,90.95,15.0,133454,700,19065,102000,69.51,700,14571,글렌알라키 12년,-31454,-21.44,-30.8,-30.8,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5463343
엘리먼츠오브아일라 아이러브아일라 500ml,엘리먼츠 오브 아일라,59.0,28.91,51.0,42421,500,8484,44900,30.6,700,6414,엘리먼츠 오브 아일라 레인보우 하트,2479,1.69,5.5,-32.3,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5372476
로얄브라클라 18년 700ml,로얄브라클라,219.0,208.05,5.0,305279,700,43611,220000,149.93,700,31429,로얄 브라클라 18년,-85279,-58.12,-38.8,-38.8,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5268251
발렌타인 21년 GLENBURGIE 700ml,발렌타인,250.0,175.0,30.0,256784,700,36683,185000,126.08,700,26429,발렌타인 21년,-71784,-48.92,-38.8,-38.8,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5885750
맥네어스 럼릭 12년 700ml,맥네어스,106.0,95.4,10.0,139984,700,19998,99900,68.08,700,14271,맥네어스 럼 릭 블렌디드 몰트 12년,-40084,-27.32,-40.1,-40.1,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5372298
시바스 리갈 18년 포이약 와인 캐스크 피니시 1000ml,시바스리갈,153.0,145.35,5.0,213277,1000,21328,105000,71.56,700,15000,시바스 리갈 18년 700ml,-108277,-73.79,-103.1,-42.2,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5616056
메이커스 마크 1000ml,메이커스마크,56.0,53.2,5.0,78062,1000,7806,38000,25.9,700,5429,메이커스 마크,-40062,-27.3,-105.4,-43.8,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5070543
쿨일라 12년 750ml,쿨일라,103.0,97.85,5.0,143579,750,19144,92000,62.7,700,13143,쿨일라 12년,-51579,-35.15,-56.1,-45.7,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5082284
달위니 15년 1000ml,달위니,127.0,120.65,5.0,177034,1000,17703,84000,57.25,700,12000,달위니 15년,-93034,-63.4,-110.8,-47.5,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5082286
로얄살루트 21년 빈티지 블렌디드 스카치 위스키 700ml,로얄살루트,211.0,200.45,5.0,294127,700,42018,198000,134.94,700,28286,로얄살루트 21년 700ml,-96127,-65.51,-48.5,-48.5,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5563229
잭다니엘 젠틀맨 잭 200ml,잭다니엘,15.0,14.25,5.0,20910,200,10455,49000,33.39,700,7000,잭 다니엘스 젠틀맨 잭,28090,19.14,57.3,-49.4,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5088301
발렌타인 21년 말본 에디션 700ml,발렌타인,200.0,190.0,5.0,278794,700,39828,185000,126.08,700,26429,발렌타인 21년,-93794,-63.92,-50.7,-50.7,N,Y,https://www.shilladfs.com/estore/kr/ko/p/6000272
맥네어스 럼릭 21년 700ml,맥네어스,317.0,285.3,10.0,418630,700,59804,269000,183.33,700,38429,맥네어스 럼 릭 블렌디드 몰트 21년,-149630,-101.97,-55.6,-55.6,N,N,https://www.shilladfs.com/estore/kr/ko/p/5372299
밀크앤허니 클래식 싱글몰트 700ml,밀크앤허니,83.0,70.55,15.0,103520,700,14789,65900,44.91,700,9414,밀크앤허니 클래식,-37620,-25.64,-57.1,-57.1,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5248987
엘리먼츠오브아일라 버번캐스크 700ml,엘리먼츠 오브 아일라,109.0,49.05,55.0,71973,700,10282,44900,30.6,700,6414,엘리먼츠 오브 아일라 레인보우 하트,-27073,-18.45,-60.3,-60.3,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5372478
로얄살루트 21년 해리스 리드 에디션 700ml,로얄살루트,229.0,217.55,5.0,319219,700,45603,198000,134.94,700,28286,로얄살루트 21년 700ml,-121219,-82.61,-61.2,-61.2,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5804217
메이커스 마크 46 1000ml,메이커스마크,67.0,63.65,5.0,93396,1000,9340,38000,25.9,700,5429,메이커스 마크,-55396,-37.75,-145.8,-72.0,N,N,https://www.shilladfs.com/estore/kr/ko/p/5592649
듀어스 더블더블 27년 500ml,듀어스,300.0,285.0,5.0,418190,500,83638,325000,221.49,700,46429,듀어스 더블 더블 27년,-93190,-63.51,-28.7,-80.1,N,N,https://www.shilladfs.com/estore/kr/ko/p/5267970
큐로 몰트 500ml,큐로,119.0,57.12,52.0,83814,500,16763,65000,44.3,700,9286,큐로 진,-18814,-12.82,-28.9,-80.5,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5302698
턴테이블 비터스윗 심포니 700ml,턴테이블,94.0,84.6,10.0,124136,700,17734,65900,44.91,700,9414,턴테이블 비터스윗 심포니,-58236,-39.69,-88.4,-88.4,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5408661
턴테이블 파라다이스 펑크 700ml,턴테이블,94.0,84.6,10.0,124136,700,17734,64000,43.62,700,9143,턴테이블 파라다이스 펑크,-60136,-40.98,-94.0,-94.0,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5408662
엘리먼츠오브아일라 캐스크에디션 700ml,엘리먼츠 오브 아일라,79.0,71.1,10.0,104327,700,14904,44900,30.6,700,6414,엘리먼츠 오브 아일라 레인보우 하트,-59427,-40.5,-132.4,-132.4,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5372477
"웰러SR, 버팔로트레이스 듀오팩 (375ml X 2)",버팔로 트레이스,74.0,34.04,54.0,49948,375,13319,39000,26.58,700,5571,버팔로 트레이스 700ml,-10948,-7.46,-28.1,-139.1,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5762840
쿠라 럼 캐스크 700ml,쿠라,135.0,108.0,20.0,158472,700,22639,10700,7.29,700,1529,사쿠라 로망,-147772,-100.71,-1381.0,-1381.0,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5157347
