위스키명,브랜드,할인가_USD,정상가_USD,할인율_%,누적판매,리뷰수,평점,재고,구매가능,소분류,상품코드,SKU,상품URL
프라팡 시가 블렌드 XO 700ml,프라팡,149.15,157.0,5.0,84,0,0.0,2,Y,1213:꼬냑,5515189,268331000044,https://www.shilladfs.com/estore/kr/ko/p/5515189
로얄살루트 21년 빈티지 블렌디드 스카치 위스키 700ml,로얄살루트,200.45,211.0,5.0,163,0,0.0,6,Y,1211:블렌디드 위스키,5563229,110231000035,https://www.shilladfs.com/estore/kr/ko/p/5563229
글렌피딕 Vat 1 Perpetual Collection 1000ml,글렌피딕,36.66,78.0,53.0,549,4,9.0,6,Y,1220:싱글몰트 위스키,5105343,082331000043,https://www.shilladfs.com/estore/kr/ko/p/5105343
시크릿 스페이사이드 Caperdonich 21년 Peated 700ml,글렌리벳,145.0,290.0,50.0,62,1,2.0,6,Y,1220:싱글몰트 위스키,5065826,110431000021,https://www.shilladfs.com/estore/kr/ko/p/5065826
닷사이 23 우드케이스 720ml,닷사이,82.0,82.0,0.0,1130,11,10.0,0,N,1227:기타 주류,5658064,282631000001,https://www.shilladfs.com/estore/kr/ko/p/5658064
보테가 아마로네 델라 발폴리첼라 750ml,보테가,35.25,75.0,53.0,72,0,0.0,6,Y,1221:와인/샴페인,5070674,112331000002,https://www.shilladfs.com/estore/kr/ko/p/5070674
브룩라디 옥토모어 15.1 700ml,브룩라디,167.0,167.0,0.0,740,2,10.0,6,Y,1220:싱글몰트 위스키,5611045,085131000102,https://www.shilladfs.com/estore/kr/ko/p/5611045
금문 LIQU 플래티늄 드래곤 500ml,금문고량주,19.8,22.0,10.0,66,0,0.0,6,Y,1216:중국술,5819125,290831000008,https://www.shilladfs.com/estore/kr/ko/p/5819125
메이커스 마크 101 1000ml,메이커스마크,70.3,74.0,5.0,259,0,0.0,6,Y,1211:블렌디드 위스키,5285854,109831000020,https://www.shilladfs.com/estore/kr/ko/p/5285854
문배술 700ml,케이전통주,46.55,49.0,5.0,15,0,0.0,6,Y,1224:한국술,5717420,955331000010,https://www.shilladfs.com/estore/kr/ko/p/5717420
샴페인 빌까르 살몽 르 수 부아 750ml,빌까르 살몽,137.75,145.0,5.0,1,0,0.0,6,Y,1221:와인/샴페인,5952348,268331000086,https://www.shilladfs.com/estore/kr/ko/p/5952348
화요미니어쳐세트 50ml*3,케이전통주,11.4,12.0,5.0,101,0,0.0,6,Y,1224:한국술,5748081,955331000005,https://www.shilladfs.com/estore/kr/ko/p/5748081
사락골드 500ml,케이전통주,34.2,36.0,5.0,38,0,0.0,6,Y,1224:한국술,5839582,955331000026,https://www.shilladfs.com/estore/kr/ko/p/5839582
CODIGO 1530 ANEJO 750ml,올메카,68.4,114.0,40.0,18,0,0.0,6,Y,1226:스피릿,5866595,132431000005,https://www.shilladfs.com/estore/kr/ko/p/5866595
루이 자도 르 끌로 블랑 2021 750ml,신세계 L&B,136.8,152.0,10.0,4,0,0.0,0,N,1221:와인/샴페인,5399050,115331000193,https://www.shilladfs.com/estore/kr/ko/p/5399050
콜롬비아 크레스트 리저브 까베르네 소비뇽 2019 750ml ,신세계 L&B,45.57,93.0,51.0,16,1,6.0,2,Y,1221:와인/샴페인,5147026,115331000169,https://www.shilladfs.com/estore/kr/ko/p/5147026
오타드 XO Gold 700ml,오타드,81.9,182.0,55.0,72,1,10.0,0,N,1213:꼬냑,5070750,113331000003,https://www.shilladfs.com/estore/kr/ko/p/5070750
Junpin Xijiu 500ml,시주,135.85,143.0,5.0,47,0,0.0,0,N,1216:중국술,5798300,284531000006,https://www.shilladfs.com/estore/kr/ko/p/5798300
레미마틴 VSOP 2026 CNY 1000ml,레미마틴,44.88,102.0,56.0,17,0,0.0,6,Y,1213:꼬냑,5885912,085131000111,https://www.shilladfs.com/estore/kr/ko/p/5885912
글렌피딕 21년 CNY 2026 리미티드 에디션 700ml,글렌피딕,134.64,264.0,49.0,73,0,0.0,0,N,1220:싱글몰트 위스키,5904121,082331000063,https://www.shilladfs.com/estore/kr/ko/p/5904121
양허 몽지람 말띠 52% 550ml,양허,132.05,139.0,5.0,13,0,0.0,0,N,1216:중국술,5968418,067631000084,https://www.shilladfs.com/estore/kr/ko/p/5968418
글렌모레이 럼 아그리꼴 700ml,글렌모레이,132.05,139.0,5.0,3,0,0.0,6,Y,1220:싱글몰트 위스키,5707055,249031000012,https://www.shilladfs.com/estore/kr/ko/p/5707055
아드벡 언 오 1000ml,아드벡,65.6,82.0,20.0,112,0,0.0,6,Y,1220:싱글몰트 위스키,5388184,108631000023,https://www.shilladfs.com/estore/kr/ko/p/5388184
프라팡 15년 700ml,프라팡,131.1,138.0,5.0,41,0,0.0,6,Y,1213:꼬냑,5515188,268331000041,https://www.shilladfs.com/estore/kr/ko/p/5515188
쟝 미쉘 까즈 세네쇼 화이트 750ml,쟝 미쉘 까즈,64.6,68.0,5.0,105,0,0.0,6,Y,1221:와인/샴페인,5070510,117931000002,https://www.shilladfs.com/estore/kr/ko/p/5070510
위도우 제인 AMERICAN RYE 750ml,위도우 제인,135.85,143.0,5.0,21,0,0.0,6,Y,1211:블렌디드 위스키,5337202,274231000003,https://www.shilladfs.com/estore/kr/ko/p/5337202
보 주아 브뤼 로제 샴페인 750ml,보 주아,128.25,135.0,5.0,48,0,0.0,6,Y,1221:와인/샴페인,5503694,280531000003,https://www.shilladfs.com/estore/kr/ko/p/5503694
호세쿠엘보 1800 크리스탈리노 아네호 700ml,호세쿠엘보,63.65,67.0,5.0,107,0,0.0,6,Y,1226:스피릿,5200755,130531000012,https://www.shilladfs.com/estore/kr/ko/p/5200755
듀어스 더블더블 20년 500ml,듀어스,126.35,133.0,5.0,711,5,10.0,0,N,1211:블렌디드 위스키,5268250,113531000068,https://www.shilladfs.com/estore/kr/ko/p/5268250
라프로익 레거시 에디션 700ml,라프로익,62.78,146.0,57.0,316,1,10.0,6,Y,1220:싱글몰트 위스키,3612827,114131000014,https://www.shilladfs.com/estore/kr/ko/p/3612827
PAUL JOHN PEATED 올로로소 700ml,폴 존,123.75,275.0,55.0,39,0,0.0,6,Y,1220:싱글몰트 위스키,5461900,249031000057,https://www.shilladfs.com/estore/kr/ko/p/5461900
덕혼 패러덕스 2021 750ml,덕혼,61.75,65.0,5.0,77,0,0.0,6,Y,1221:와인/샴페인,5442466,268331000033,https://www.shilladfs.com/estore/kr/ko/p/5442466
더 글렌리벳 19년 700ml,글렌리벳,123.5,130.0,5.0,277,0,0.0,0,N,1220:싱글몰트 위스키,5828030,110431000037,https://www.shilladfs.com/estore/kr/ko/p/5828030
버팔로 트레이스 버번 위스키 1000ml,버팔로 트레이스,28.5,30.0,5.0,479,1,10.0,6,Y,1211:블렌디드 위스키,5310223,258231000003,https://www.shilladfs.com/estore/kr/ko/p/5310223
레미마틴 1738 700ml,레미마틴,61.6,88.0,30.0,9,0,0.0,1,Y,1213:꼬냑,5846423,085131000101,https://www.shilladfs.com/estore/kr/ko/p/5846423
민속주 안동소주 800ml,케이전통주,40.85,43.0,5.0,43,0,0.0,6,Y,1224:한국술,5717210,955331000006,https://www.shilladfs.com/estore/kr/ko/p/5717210
기원 해 700ml,기원 위스키,60.8,64.0,5.0,80,0,0.0,6,Y,1220:싱글몰트 위스키,5757507,922031000006,https://www.shilladfs.com/estore/kr/ko/p/5757507
달위니 15년 1000ml,달위니,120.65,127.0,5.0,537,0,0.0,6,Y,1220:싱글몰트 위스키,5082286,111231000021,https://www.shilladfs.com/estore/kr/ko/p/5082286
루이 라뚜르 샤블리 2023 750ml,와인나라,39.9,42.0,5.0,121,0,0.0,1,Y,1221:와인/샴페인,5593496,115431000126,https://www.shilladfs.com/estore/kr/ko/p/5593496
더 글렌리벳 14년 1000ml,글렌리벳,80.75,85.0,5.0,43,0,0.0,6,Y,1220:싱글몰트 위스키,5828031,110431000038,https://www.shilladfs.com/estore/kr/ko/p/5828031
펠러 까베르네 프랑 아이스 와인 375ml,펠러,62.04,132.0,53.0,36,0,0.0,6,Y,1221:와인/샴페인,5071015,117631000002,https://www.shilladfs.com/estore/kr/ko/p/5071015
에버펠디 16년 마데이라 700ml,에버펠디,118.75,125.0,5.0,249,0,0.0,6,Y,1220:싱글몰트 위스키,5336801,113531000080,https://www.shilladfs.com/estore/kr/ko/p/5336801
클라우디 베이 테 코코 750ml,클라우디 베이,58.5,78.0,25.0,98,0,0.0,6,Y,1221:와인/샴페인,5454348,108931000082,https://www.shilladfs.com/estore/kr/ko/p/5454348
우량예 미니 52% 50ml,우량예,22.8,24.0,5.0,237,9,9.77777778,6,Y,1216:중국술,5544528,067631000070,https://www.shilladfs.com/estore/kr/ko/p/5544528
우드포드 리저브 Kentucky Derby 적마 에디션 1000ml,우드포드 리저브,57.0,60.0,5.0,158,0,0.0,6,Y,1211:블렌디드 위스키,5070956,114931000012,https://www.shilladfs.com/estore/kr/ko/p/5070956
Old Pulteney 16 Years Old 700ml,올드풀트니,114.0,120.0,5.0,37,0,0.0,6,Y,1220:싱글몰트 위스키,5865719,265831000010,https://www.shilladfs.com/estore/kr/ko/p/5865719
보 주아 슈가킹 데미섹 샴페인 750ml,보 주아,114.0,120.0,5.0,66,0,0.0,6,Y,1221:와인/샴페인,5503695,280531000004,https://www.shilladfs.com/estore/kr/ko/p/5503695
Balblair 15 Years Old 1000ml,발블레어,112.5,125.0,10.0,14,0,0.0,6,Y,1220:싱글몰트 위스키,5865409,265731000006,https://www.shilladfs.com/estore/kr/ko/p/5865409
패터캐른 17년 700ml,패터캐른,68.2,124.0,45.0,66,0,0.0,6,Y,1220:싱글몰트 위스키,5401205,114431000108,https://www.shilladfs.com/estore/kr/ko/p/5401205
시바스리갈 18년 200ml,시바스리갈,13.78,26.0,47.0,179,3,10.0,6,Y,1211:블렌디드 위스키,5075893,110331000024,https://www.shilladfs.com/estore/kr/ko/p/5075893
CINCORO TEQUILA 싱코로 레포사도 750ml,싱코로,110.2,116.0,5.0,24,0,0.0,2,Y,1226:스피릿,5746937,290031000001,https://www.shilladfs.com/estore/kr/ko/p/5746937
화이트헤더 15년 700ml,화이트헤더,54.18,126.0,57.0,25,0,0.0,6,Y,1211:블렌디드 위스키,5372580,276031000001,https://www.shilladfs.com/estore/kr/ko/p/5372580
알베르비쇼 마콩 밀리 라마르틴느 2021 750ml,알베르 비쇼,36.1,38.0,5.0,31,0,0.0,1,Y,1221:와인/샴페인,5349456,117531000015,https://www.shilladfs.com/estore/kr/ko/p/5349456
와일드터키 켄터키 스피릿 750ml,와일드터키,54.15,57.0,5.0,77,0,0.0,2,Y,1226:스피릿,5530607,257231000006,https://www.shilladfs.com/estore/kr/ko/p/5530607
카발란 마스터 셀렉트 넘버 2 1000ml,카발란,108.0,135.0,20.0,117,0,0.0,6,Y,1220:싱글몰트 위스키,5706812,249031000048,https://www.shilladfs.com/estore/kr/ko/p/5706812
카발란 마스터 셀렉트 넘버 1 1000ml,카발란,108.0,135.0,20.0,204,0,0.0,6,Y,1220:싱글몰트 위스키,5707271,249031000047,https://www.shilladfs.com/estore/kr/ko/p/5707271
조야 천연유자 과실주 750ml,조야,10.78,22.0,51.0,171,1,10.0,6,Y,1221:와인/샴페인,5249009,112431000009,https://www.shilladfs.com/estore/kr/ko/p/5249009
몽지람 수공반 52% 500ml,양허,107.4,179.0,40.0,218,0,0.0,6,Y,1216:중국술,5591546,067631000071,https://www.shilladfs.com/estore/kr/ko/p/5591546
Balblair 17 Years Old 700ml,발블레어,160.2,178.0,10.0,19,0,0.0,6,Y,1220:싱글몰트 위스키,5865411,265731000007,https://www.shilladfs.com/estore/kr/ko/p/5865411
테일러스 포트 미니어처 세트 200ml,테일러스 포트 와인,26.6,28.0,5.0,200,0,0.0,6,Y,1221:와인/샴페인,5613178,280631000005,https://www.shilladfs.com/estore/kr/ko/p/5613178
미야기쿄 싱글 몰트 그란데 700ml,닛카 위스키,104.5,110.0,5.0,136,2,10.0,6,Y,1220:싱글몰트 위스키,5804865,292531000001,https://www.shilladfs.com/estore/kr/ko/p/5804865
씨앤씨 버지니아 하이랜드 위스키 포트 캐스크 피니시 750ml,씨앤씨,34.78,74.0,53.0,16,0,0.0,5,Y,1220:싱글몰트 위스키,5359021,276831000002,https://www.shilladfs.com/estore/kr/ko/p/5359021
PAUL JOHN UNPEATED 올로로소 700ml,폴 존,103.5,230.0,55.0,62,0,0.0,6,Y,1220:싱글몰트 위스키,5461899,249031000056,https://www.shilladfs.com/estore/kr/ko/p/5461899
1865 보이저 40년산 바인 750ml,1865 와인,51.3,54.0,5.0,44,0,0.0,6,Y,1221:와인/샴페인,5594904,281231000002,https://www.shilladfs.com/estore/kr/ko/p/5594904
국교 1573 선물세트 52% 375ml,국교1573,102.6,108.0,5.0,98,0,0.0,0,N,1216:중국술,5669474,284531000004,https://www.shilladfs.com/estore/kr/ko/p/5669474
아마하간 World Malt Editon No.5 700ml,아마하간,101.7,113.0,10.0,33,0,0.0,6,Y,1211:블렌디드 위스키,5232836,263231000003,https://www.shilladfs.com/estore/kr/ko/p/5232836
와일드무어 23년 웨이킹 포레스트 700ml,와일드무어,101.52,188.0,46.0,124,0,0.0,6,Y,1211:블렌디드 위스키,5399821,279331000002,https://www.shilladfs.com/estore/kr/ko/p/5399821
잭다니엘 허니 1000ml,잭다니엘,33.25,35.0,5.0,318,4,9.5,6,Y,1211:Blended Whisky,3299108,114931000005,https://www.shilladfs.com/estore/kr/ko/p/3299108
부샤 끌로 드 라 무스 1등급 2018 750ml,부샤,99.75,105.0,5.0,60,0,0.0,5,Y,1221:와인/샴페인,5434841,268331000025,https://www.shilladfs.com/estore/kr/ko/p/5434841
폴 존 올로로소 쉐리 700ml,폴 존,99.75,105.0,5.0,165,0,0.0,0,N,1220:싱글몰트 위스키,5312120,249031000024,https://www.shilladfs.com/estore/kr/ko/p/5312120
레미마틴 Club Exception 1000ml,레미마틴,95.4,180.0,47.0,64,1,10.0,6,Y,1213:꼬냑,5186309,085131000065,https://www.shilladfs.com/estore/kr/ko/p/5186309
쿨일라 12년 750ml,쿨일라,97.85,103.0,5.0,114,0,0.0,6,Y,1220:싱글몰트 위스키,5082284,111131000010,https://www.shilladfs.com/estore/kr/ko/p/5082284
제임슨 Standard 1000ml,제임슨,19.5,39.0,50.0,94,1,10.0,6,Y,1227:기타 주류,5069997,110531000001,https://www.shilladfs.com/estore/kr/ko/p/5069997
글렌알라키 9년 도우로밸리 700ml,글렌알라키,97.2,108.0,10.0,256,1,10.0,1,Y,1220:싱글몰트 위스키,5330414,265631000004,https://www.shilladfs.com/estore/kr/ko/p/5330414
까베르네 소비뇽 750ml,조셉펠프스,96.9,102.0,5.0,207,0,0.0,6,Y,1221:와인/샴페인,5490111,108931000089,https://www.shilladfs.com/estore/kr/ko/p/5490111
벤리악 Quarter Cask Classic 1000ml,벤리악,32.2,70.0,54.0,93,0,0.0,6,Y,1220:싱글몰트 위스키,5303577,114931000043,https://www.shilladfs.com/estore/kr/ko/p/5303577
조니워커 블랙 루비 1000ml,조니워커,31.95,71.0,55.0,100,0,0.0,6,Y,1211:블렌디드 위스키,5624247,046331000088,https://www.shilladfs.com/estore/kr/ko/p/5624247
맥네어스 럼릭 12년 700ml,맥네어스,95.4,106.0,10.0,14,0,0.0,6,Y,1211:블렌디드 위스키,5372298,275931000001,https://www.shilladfs.com/estore/kr/ko/p/5372298
에버펠디 12년 마데이라 캐스크 700ml,에버펠디,62.7,66.0,5.0,116,0,0.0,6,Y,1220:싱글몰트 위스키,5490012,113531000083,https://www.shilladfs.com/estore/kr/ko/p/5490012
양허 몽지람 M6+ 미니세트 65ml,양허,23.75,25.0,5.0,114,0,0.0,6,Y,1216:중국술,5836004,067631000079,https://www.shilladfs.com/estore/kr/ko/p/5836004
시크릿 스페이사이드 Longmorn 18년 700ml,글렌리벳,95.0,100.0,5.0,436,3,7.33333333,6,Y,1220:싱글몰트 위스키,5065830,110431000022,https://www.shilladfs.com/estore/kr/ko/p/5065830
부쉬밀 쉐리 캐스크 10년 1000ml,부쉬밀,31.5,70.0,55.0,148,0,0.0,6,Y,1220:싱글몰트 위스키,5200752,130531000019,https://www.shilladfs.com/estore/kr/ko/p/5200752
까뮤 SPECIAL DRY Borderies 500ml,까뮤,94.4,118.0,20.0,118,3,9.33333333,6,Y,1213:꼬냑,5406625,070031000045,https://www.shilladfs.com/estore/kr/ko/p/5406625
문배술 명작 500ml,케이전통주,94.05,99.0,5.0,34,0,0.0,6,Y,1224:한국술,5717213,955331000012,https://www.shilladfs.com/estore/kr/ko/p/5717213
싱글톤 가든스 오브 어번던스 - 래디언트 스프링 가든 1000ml,싱글톤,31.28,68.0,54.0,81,0,0.0,6,Y,1220:싱글몰트 위스키,5478854,111231000044,https://www.shilladfs.com/estore/kr/ko/p/5478854
헤네시 XO 350ml,헤네시,93.75,125.0,25.0,186,0,0.0,0,N,1213:꼬냑,5786501,086931000113,https://www.shilladfs.com/estore/kr/ko/p/5786501
GLENGOINE 12yo First-Fill Edition 1000ml,글렌고인,46.61,79.0,41.0,26,0,0.0,6,Y,1220:싱글몰트 위스키,5865404,294531000001,https://www.shilladfs.com/estore/kr/ko/p/5865404
1792 스몰 배치 1000ml,버팔로 트레이스,24.5,49.0,50.0,9,0,0.0,6,Y,1226:스피릿,5942683,258231000029,https://www.shilladfs.com/estore/kr/ko/p/5942683
글렌모렌지 인피니타 18년 700ml,글렌모렌지,90.0,120.0,25.0,544,1,6.0,0,N,1220:싱글몰트 위스키,5713332,108631000047,https://www.shilladfs.com/estore/kr/ko/p/5713332
하이랜드 파크 WOLF 14년 1000ml ,하이랜드 파크,90.0,100.0,10.0,182,0,0.0,6,Y,1220:싱글몰트 위스키,5145172,112031000019,https://www.shilladfs.com/estore/kr/ko/p/5145172
보테가 끼안띠 리제르바 750ml,보테가,22.44,44.0,49.0,31,0,0.0,6,Y,1221:와인/샴페인,5070677,112331000005,https://www.shilladfs.com/estore/kr/ko/p/5070677
패트론 아네호 1000ml,패트론,89.3,94.0,5.0,319,4,10.0,6,Y,1226:스피릿,3332123,122131000002,https://www.shilladfs.com/estore/kr/ko/p/3332123
하이랜드 파크 BEAR 1000ml,하이랜드 파크,28.98,63.0,54.0,41,0,0.0,4,Y,1220:싱글몰트 위스키,5145171,112031000018,https://www.shilladfs.com/estore/kr/ko/p/5145171
TAMDHU 14yo Ambar Vintage 2009 700ml,탐두,76.45,139.0,45.0,54,0,0.0,6,Y,1220:싱글몰트 위스키,5865403,294531000006,https://www.shilladfs.com/estore/kr/ko/p/5865403
샴페인 빌까르 살몽 르 리저브 750ml,빌까르 살몽,85.5,90.0,5.0,33,0,0.0,6,Y,1221:와인/샴페인,5874269,268331000081,https://www.shilladfs.com/estore/kr/ko/p/5874269
테일러스 포트 와인 시티 에디션 750ml,테일러스 포트 와인,41.8,44.0,5.0,158,0,0.0,6,Y,1221:와인/샴페인,5477395,280631000001,https://www.shilladfs.com/estore/kr/ko/p/5477395
뉴리프 싱글배럴 버번 750ml,뉴리프,83.6,88.0,5.0,52,0,0.0,6,Y,1211:블렌디드 위스키,5917130,295531000004,https://www.shilladfs.com/estore/kr/ko/p/5917130
로랑페리에 밀레짐 2015 750ml,로랑 페리에,83.2,128.0,35.0,519,0,0.0,0,N,1221:와인/샴페인,5486462,117231000010,https://www.shilladfs.com/estore/kr/ko/p/5486462
Old Pulteney 13 Years Old 1000ml,올드풀트니,82.65,87.0,5.0,16,0,0.0,6,Y,1220:싱글몰트 위스키,5865718,265831000009,https://www.shilladfs.com/estore/kr/ko/p/5865718
인드리 700ml,인드리,27.5,55.0,50.0,23,0,0.0,6,Y,1220:싱글몰트 위스키,5360892,276731000001,https://www.shilladfs.com/estore/kr/ko/p/5360892
파이퍼 하이직 에센셜 블랑 드 누아 NV 750ml,와인나라,81.7,86.0,5.0,334,0,0.0,6,Y,1221:와인/샴페인,5290631,115431000115,https://www.shilladfs.com/estore/kr/ko/p/5290631
골든블랑 CREMANT BRUT 750ml,골든블랑,26.95,55.0,51.0,108,0,0.0,6,Y,1221:와인/샴페인,5174763,254731000003,https://www.shilladfs.com/estore/kr/ko/p/5174763
양허 M3 크리스탈 500ml,양허,80.75,85.0,5.0,319,3,10.0,6,Y,1216:중국술,5506826,067631000049,https://www.shilladfs.com/estore/kr/ko/p/5506826
"잉크 그레이드, 소비뇽 블랑 2022 750ml",잉크 그레이드,79.8,84.0,5.0,21,0,0.0,6,Y,1221:와인/샴페인,5705509,288831000008,https://www.shilladfs.com/estore/kr/ko/p/5705509
이에이치 테일러 스몰배치 750ml,버팔로 트레이스,79.8,84.0,5.0,642,1,2.0,0,N,1211:블렌디드 위스키,5399401,258231000007,https://www.shilladfs.com/estore/kr/ko/p/5399401
시바스 리갈 18년 포이약 와인 캐스크 피니시 700ml,시바스리갈,79.56,153.0,48.0,53,0,0.0,6,Y,1211:블렌디드 위스키,5616056,110331000035,https://www.shilladfs.com/estore/kr/ko/p/5616056
발렌타인 15년 GLENBURGIE 700ml,발렌타인,39.69,81.0,51.0,279,0,0.0,6,Y,1220:싱글몰트 위스키,5499394,046131000056,https://www.shilladfs.com/estore/kr/ko/p/5499394
고든앤맥패일 디스커버리 오크로이스크 10년 700ml,고든 앤 맥패일,78.85,83.0,5.0,19,0,0.0,6,Y,1220:싱글몰트 위스키,5677221,115431000176,https://www.shilladfs.com/estore/kr/ko/p/5677221
고든앤맥패일 디스커버리 글렌로티스 11년 700ml,고든 앤 맥패일,78.85,83.0,5.0,28,0,0.0,0,N,1220:싱글몰트 위스키,5677225,115431000172,https://www.shilladfs.com/estore/kr/ko/p/5677225
펠러 오크 에이지 아이스 와인 375ml,펠러,78.85,83.0,5.0,19,0,0.0,0,N,1221:와인/샴페인,5114830,117631000006,https://www.shilladfs.com/estore/kr/ko/p/5114830
토브렉 스테딩 2022 750ml,토브렉,25.97,49.0,47.0,64,1,10.0,6,Y,1221:와인/샴페인,5523027,284831000004,https://www.shilladfs.com/estore/kr/ko/p/5523027
텔몽 리저브 드 라 떼르 750ml ,텔몽,77.9,82.0,5.0,53,0,0.0,0,N,1221:와인/샴페인,5417941,085131000087,https://www.shilladfs.com/estore/kr/ko/p/5417941
글렌리벳 TGL TCM Rare Cask 1000ml,글렌리벳,77.55,141.0,45.0,133,0,0.0,6,Y,1220:싱글몰트 위스키,5081234,110431000018,https://www.shilladfs.com/estore/kr/ko/p/5081234
토카이 아수 6 푸토뇨스 2013 500ml,비네센코리아,77.0,154.0,50.0,143,1,10.0,6,Y,1221:와인/샴페인,5552050,272731000037,https://www.shilladfs.com/estore/kr/ko/p/5552050
와일드터키 101 1000ml,와일드터키,24.96,48.0,48.0,411,3,10.0,6,Y,1211:블렌디드 위스키,5173368,257231000002,https://www.shilladfs.com/estore/kr/ko/p/5173368
연태구냥 블루 500ml,연태구냥,38.0,40.0,5.0,82,0,0.0,6,Y,1216:중국술,5430955,251331000002,https://www.shilladfs.com/estore/kr/ko/p/5430955
글렌드로낙 10년 1000ml,글렌드로낙,76.0,80.0,5.0,553,1,10.0,6,Y,1220:싱글몰트 위스키,5088303,114931000033,https://www.shilladfs.com/estore/kr/ko/p/5088303
오타드 BARON Otard VSOP 1000ml,오타드,37.84,86.0,56.0,59,0,0.0,6,Y,1213:꼬냑,5070748,113331000001,https://www.shilladfs.com/estore/kr/ko/p/5070748
페넬로페 프로젝트 X 스페니시 브랜디 750ml,페닐로페,71.2,89.0,20.0,47,0,0.0,6,Y,1220:싱글몰트 위스키,5916422,287531000015,https://www.shilladfs.com/estore/kr/ko/p/5916422
1865 보이저 70년산 바인 750ml,1865 와인,74.1,78.0,5.0,62,0,0.0,6,Y,1221:와인/샴페인,5594809,281231000003,https://www.shilladfs.com/estore/kr/ko/p/5594809
보테가 브루넬로 디 몬탈치노 750ml,보테가,74.1,78.0,5.0,99,0,0.0,6,Y,1221:와인/샴페인,3738766,112331000007,https://www.shilladfs.com/estore/kr/ko/p/3738766
글렌피딕 18년 벳4 퍼페츄얼 IGL CNY 700ml,글렌피딕,73.95,145.0,49.0,75,0,0.0,0,N,1220:싱글몰트 위스키,5904120,082331000062,https://www.shilladfs.com/estore/kr/ko/p/5904120
펜폴즈 빈407 빈티지 2023 750ml,펜폴즈,73.66,127.0,42.0,32,0,0.0,6,Y,1221:와인/샴페인,5819193,195231000062,https://www.shilladfs.com/estore/kr/ko/p/5819193
카이요 Japanese Mizunara Cask Strength 700ml,카이요 위스키,73.35,163.0,55.0,153,1,10.0,6,Y,1220:싱글몰트 위스키,5437281,276631000005,https://www.shilladfs.com/estore/kr/ko/p/5437281
글렌글라사 포트소이 700ml,GLENGLASSAUGH,40.81,77.0,47.0,53,0,0.0,6,Y,1220:싱글몰트 위스키,5534639,114931000063,https://www.shilladfs.com/estore/kr/ko/p/5534639
벤리악 Triple Distilled 10년 1000ml,벤리악,73.15,77.0,5.0,128,0,0.0,6,Y,1220:싱글몰트 위스키,5303576,114931000042,https://www.shilladfs.com/estore/kr/ko/p/5303576
팔린다 와인 소비뇽 레드와인(2011년) 750ml,팔린다 와인,73.15,77.0,5.0,7,0,0.0,0,N,1221:와인/샴페인,5157072,255131000007,https://www.shilladfs.com/estore/kr/ko/p/5157072
분주 20년 475ml,분주,35.84,64.0,44.0,129,3,10.0,6,Y,1216:중국술,5104693,067631000034,https://www.shilladfs.com/estore/kr/ko/p/5104693
"패트론 실버 1,000ML",패트론,71.25,75.0,5.0,111,1,10.0,1,Y,1226:스피릿,3704373,122131000003,https://www.shilladfs.com/estore/kr/ko/p/3704373
후공방 fulu 500ml,후공방,71.25,75.0,5.0,8,1,10.0,2,Y,1216:중국술,5543720,067631000066,https://www.shilladfs.com/estore/kr/ko/p/5543720
볼랭저 스페셜 뀌베 브뤼 750ml,볼랭저,71.2,89.0,20.0,96,0,0.0,6,Y,1221:와인/샴페인,5804871,292831000001,https://www.shilladfs.com/estore/kr/ko/p/5804871
카발란 콘서트마스터 1000ml,카발란,70.4,88.0,20.0,282,0,0.0,6,Y,1220:싱글몰트 위스키,5101466,249031000001,https://www.shilladfs.com/estore/kr/ko/p/5101466
조야 골드에디션 500ml,조야,70.3,74.0,5.0,31,0,0.0,6,Y,1221:와인/샴페인,5070771,112431000002,https://www.shilladfs.com/estore/kr/ko/p/5070771
더글라스랭 OP ARDMORE 15년 700ml,더글라스랭,70.03,149.0,53.0,34,0,0.0,6,Y,1220:싱글몰트 위스키,5228865,265431000005,https://www.shilladfs.com/estore/kr/ko/p/5228865
보모어 14년 700ml,보모어,34.0,68.0,50.0,144,0,0.0,6,Y,1220:싱글몰트 위스키,5524536,114231000052,https://www.shilladfs.com/estore/kr/ko/p/5524536
그라함 10년 750ml,그라함,68.4,72.0,5.0,371,2,10.0,6,Y,1221:와인/샴페인,5070884,154531000002,https://www.shilladfs.com/estore/kr/ko/p/5070884
더 아일라 보이즈 베어렉스 배틀 엑스 아일라 700ml,더 아일라 보이즈,33.54,78.0,57.0,17,0,0.0,6,Y,1220:싱글몰트 위스키,5232740,263431000001,https://www.shilladfs.com/estore/kr/ko/p/5232740
글렌모레이 12년 1000ml,글렌모레이,68.4,72.0,5.0,34,0,0.0,4,Y,1220:싱글몰트 위스키,5313551,249031000014,https://www.shilladfs.com/estore/kr/ko/p/5313551
글렌알라키 8년 700ml,글렌알라키,67.34,91.0,26.0,140,0,0.0,6,Y,1220:싱글몰트 위스키,5249072,265631000001,https://www.shilladfs.com/estore/kr/ko/p/5249072
돈훌리오 블랑코 750ml,돈훌리오,36.0,60.0,40.0,93,0,0.0,6,Y,1226:스피릿,5295909,254931000002,https://www.shilladfs.com/estore/kr/ko/p/5295909
