위스키명,브랜드,면세_USD,면세_KRW,면세용량_ml,면세_₩100ml,데일리샷floor_KRW,데일리샷용량_ml,데일리샷_₩100ml,데일리샷셀러,데일리샷매칭명,보유DB_KRW,국내최저_KRW(min),국내최저출처,면세더쌈_병당,절감_병당_KRW,면세더쌈_100ml,절감_100ml_%,구매가능,상품URL
고든앤맥패일 코노세어초이스 올트모어 세인트조셉 2009 13년 700ml,고든 앤 맥패일,122.85,186395,700,26628,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5677223
글렌알라키 17Y 미즈나라 700mL,글렌알라키,361.0,547728,700,78247,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5744591
벤리악 트리플 디스틸드 25년 700ml,벤리악,361.0,547728,700,78247,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5429235
시크릿 스페이사이드 Glen Keith 25년 700ml,글렌리벳,361.0,547728,700,78247,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5065831
몽키숄더 1000ml,발베니,30.0,45518,1000,4552,,,,,,42290,42290,보유DB,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/2011674
고든앤맥패일 디스틸러리 링크우드 25년 700ml,고든 앤 맥패일,359.1,544846,700,77835,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5677238
시크릿 스페이사이드 Longmorn 18년 700ml,글렌리벳,95.0,144139,700,20591,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5065830
발렌타인 21년 GLENBURGIE 700ml,발렌타인,175.0,265519,700,37931,167000,700,23857,보틀즈 논현,발렌타인 21년,182900,167000,데일리샷,N,-98519,N,-59.0,Y,https://www.shilladfs.com/estore/kr/ko/p/5885750
로얄살루트 21년 빈티지 블렌디드 스카치 위스키 700ml,로얄살루트,200.45,304133,700,43448,195000,700,27857,보틀즈 논현,로얄살루트 21년 블렌디드 그레인,179800,179800,보유DB,N,-109133,N,-56.0,Y,https://www.shilladfs.com/estore/kr/ko/p/5563229
브룩라디 블랙아트 11 700ml,브룩라디,337.5,512073,700,73153,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5610610
조니워커 18년 750ml,조니워커,56.0,84966,750,11329,133000,700,19000,로랜드 주류상회,[한정 수량 특가] 조니워커 18년,,133000,데일리샷,Y,48034,Y,40.4,N,https://www.shilladfs.com/estore/kr/ko/p/3651371
잭다니엘 Tennessee Apple 1000ml,잭다니엘,33.25,50449,1000,5045,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5303578
와일드터키 마스터스 킵 보야지 750ml,와일드터키,165.3,250802,750,33440,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5605211
카발란 페드로히메네즈 솔리스트 750ml,카발란,319.2,484307,750,64574,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5101643
발렌타인 21년 아티스트 에디션 5 700ml,발렌타인,158.65,240712,700,34387,167000,700,23857,보틀즈 논현,발렌타인 21년,182900,167000,데일리샷,N,-73712,N,-44.1,Y,https://www.shilladfs.com/estore/kr/ko/p/5945876
시바스리갈 18년산 700ml,시바스리갈,44.0,66759,700,9537,104900,700,14986,와인갤러리 시흥,시바스 리갈 18년 700ml,,104900,데일리샷,Y,38141,Y,36.4,Y,https://www.shilladfs.com/estore/kr/ko/p/5573453
글렌파클라스 105 1000ml,글렌파클라스,119.7,181615,1000,18162,114000,700,16286,위스키오크통 일산점,글렌파클라스 105 CS,,114000,데일리샷,N,-67615,N,-11.5,Y,https://www.shilladfs.com/estore/kr/ko/p/5226622
ABERLOUR 16년 700ml,발렌타인,76.7,116373,700,16625,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5837405
듀어스 15년 (New Edition) 1000ml ,듀어스,60.8,92249,1000,9225,64000,700,9143,오앤오샷앤바틀 기흥점,듀어스 15년,59400,59400,보유DB,N,-28249,N,-0.9,Y,https://www.shilladfs.com/estore/kr/ko/p/5575518
글렌데브론 20년 1000ml,글렌데브론,63.5,96346,1000,9635,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5070793
탈리스커 다크 스톰 1000ml,탈리스커,57.15,86711,1000,8671,129000,1000,12900,더오크,탈리스커 다크스톰 1L,,129000,데일리샷,Y,42289,Y,32.8,Y,https://www.shilladfs.com/estore/kr/ko/p/5070436
보모어 24년 프랭크 콰이어틀리 4 700ml,보모어,295.8,448803,700,64115,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5489102
뉴리프 8년 라이 750ml,뉴리프,98.0,148691,750,19825,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5917042
시크릿 스페이사이드 Caperdonich 21년 Peated 700ml,글렌리벳,145.0,220002,700,31429,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5065826
클라이넬리시 10년 SR FY24 700ml (2023 Special Release),탈리스커,188.1,285395,700,40771,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5420684
시그나토리 오크니(HP) 2005 캐스크 스트렝스 19년 #31 700ml,시그나토리 빈티지,285.0,432417,700,61774,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5819169
짐빔 화이트 1000ml,짐빔,11.88,18025,1000,1802,25200,1000,2520,블루하우스,짐빔 화이트 1L,19800,25200,데일리샷,Y,7175,Y,28.5,Y,https://www.shilladfs.com/estore/kr/ko/p/5070546
글렌파클라스 15년 700ml,글렌파클라스,67.5,102415,700,14631,137000,700,19571,가자주류백화점 일산점,글렌파클라스 15년,119400,119400,보유DB,Y,34585,Y,25.2,Y,https://www.shilladfs.com/estore/kr/ko/p/5226623
싱글톤 더프타운 21년 700ml,싱글톤,172.2,261271,700,37324,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5417832
시바스리갈 25년 700ml,시바스리갈,369.55,560701,700,80100,549000,700,78429,로랜드 주류상회,시바스 리갈 25년,,549000,데일리샷,N,-11701,N,-2.1,Y,https://www.shilladfs.com/estore/kr/ko/p/5070398
PAUL JOHN PEATED 올로로소 700ml,폴 존,123.75,187760,700,26823,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5461900
라프로익 12년 700ml,라프로익,42.0,63725,700,9104,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5917035
글렌모레이 21년 포트우드 700ml,글렌모레이,251.75,381968,700,54567,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5304451
에버펠디 12년 마데이라 캐스크 700ml,에버펠디,62.7,95132,700,13590,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5490012
시바스리갈 Ultis XX 1000ml,시바스리갈,124.55,188974,1000,18897,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/3755407
더 글렌리벳 21년 700ml,글렌리벳,248.9,377644,700,53949,389000,700,55571,보틀즈 논현,더 글렌리벳 21년,,389000,데일리샷,Y,11356,Y,2.9,N,https://www.shilladfs.com/estore/kr/ko/p/5948827
기원 해 700ml,기원 위스키,60.8,92249,700,13178,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5757507
시크릿 스페이사이드 Caperdonich 18년 Peated 700ml,글렌리벳,59.8,90732,700,12962,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5065829
히비키 마스터즈 셀렉트 스페셜 에디션 700ml,산토리,238.0,361106,700,51587,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5166675
에버펠디 16년 마데이라 700ml,에버펠디,118.75,180174,700,25739,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5336801
에버펠디 21년 마데이라 캐스크 700ml,에버펠디,235.6,357465,700,51066,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5316366
산토리 야마자키 코게이 700ml,산토리,230.0,348968,700,49853,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5368247
시그나토리 글렌리벳 2006 캐스크 스트렝스 18년 #901031 700ml,시그나토리 빈티지,228.95,347375,700,49625,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5819168
글렌드로낙 10년 1000ml,글렌드로낙,76.0,115311,1000,11531,95000,1000,9500,포도담,더 글렌드로낙 10년 포그 1L,,95000,데일리샷,N,-20311,N,-21.4,Y,https://www.shilladfs.com/estore/kr/ko/p/5088303
듀어스 더블더블 26년 500ml,듀어스,227.05,344492,500,68898,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5547655
고든앤맥패일 코노세어초이스 스트라스밀 2009 14년 700ml,고든 앤 맥패일,221.35,335844,700,47978,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5724904
글렌피딕 Vat 1 Perpetual Collection 1000ml,글렌피딕,36.66,55622,1000,5562,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5105343
로얄살루트 21년 해리스 리드 에디션 700ml,로얄살루트,217.55,330078,700,47154,195000,700,27857,보틀즈 논현,로얄살루트 21년 블렌디드 그레인,179800,179800,보유DB,N,-135078,N,-69.3,Y,https://www.shilladfs.com/estore/kr/ko/p/5804217
시그나토리 글렌알라키 2009 캐스크 스트렝스 15년 #900863 700ml,시그나토리 빈티지,214.7,325754,700,46536,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5895328
토마틴 21년 700ml,토마틴,214.2,324996,700,46428,359000,700,51286,베스트마트,토마틴 21년,,359000,데일리샷,Y,34004,Y,9.5,N,https://www.shilladfs.com/estore/kr/ko/p/5310055
글렌알라키 8년 700ml,글렌알라키,67.34,102172,700,14596,70000,700,10000,고래맥주창고 다산점,글렌알라키 8년,,70000,데일리샷,N,-32172,N,-46.0,Y,https://www.shilladfs.com/estore/kr/ko/p/5249072
로얄살루트 마이애미 폴로 에디션 700ml,로얄살루트,200.45,304133,700,43448,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5563230
로얄살루트 21년 Peated Blend 700ml,로얄살루트,190.0,288278,700,41183,300000,700,42857,더블랙,로얄살루트 21년 피티드 블렌드,,300000,데일리샷,Y,11722,Y,3.9,Y,https://www.shilladfs.com/estore/kr/ko/p/5081231
라가불린 16년 700ml,라가불린,115.9,175850,700,25121,135000,700,19286,루한,라가불린 16년,,135000,데일리샷,N,-40850,N,-30.3,N,https://www.shilladfs.com/estore/kr/ko/p/5358630
발베니 13년 리필 포트캐스크 700ml,발베니,60.0,91035,700,13005,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5834859
하이랜드 파크 WOLF 14년 1000ml ,하이랜드 파크,90.0,136553,1000,13655,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5145172
더 글렌그란트 18년 1000ml,더 글렌그란트,172.8,262181,1000,26218,200000,700,28571,온더락,더 글렌그란트 18년,,200000,데일리샷,N,-62181,Y,8.2,N,https://www.shilladfs.com/estore/kr/ko/p/5193075
글렌스코시아 Campbeltown 1832 1000ml,글렌 스코시아,56.7,86028,1000,8603,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5267812
브룩라디 옥토모어 15.1 700ml,브룩라디,167.0,253381,700,36197,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5611045
싱글톤 가든스 오브 어번던스 - 이그저틱 스파이스 그로브 1000ml,싱글톤,82.8,125629,1000,12563,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5478785
탈리스커 10년 1L ,탈리스커,80.75,122518,1000,12252,76800,750,10240,현대그린마트 병점,탈리스커 10년 750ml,67800,67800,보유DB,N,-45718,N,-19.6,Y,https://www.shilladfs.com/estore/kr/ko/p/5604485
듀어스 16년 1000ml,듀어스,80.75,122518,1000,12252,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5102016
Balblair 17 Years Old 700ml,발블레어,160.2,243064,700,34723,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5865411
더 글렌그란트 2006 프라이빗 캐스크 700ml,더 글렌그란트,159.2,241547,700,34507,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5764516
라프로익 포오크 2023 1000ml,라프로익,77.9,118194,1000,11819,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5368246
ABERLOUR 18년 700ml,발렌타인,150.5,228347,700,32621,148000,700,21143,이마트24 신월스타점,발렌타인 싱글몰트 글렌버기 18년,,148000,데일리샷,N,-80347,N,-54.3,Y,https://www.shilladfs.com/estore/kr/ko/p/5837406
페넬로페 프로젝트 X 메이플 브륄레 750ml,페닐로페,71.2,108028,750,14404,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5916221
카이요 Japanese Mizunara Cask Strength 700ml,카이요 위스키,73.35,111291,700,15899,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5437281
보모어 19년 700ml,보모어,102.0,154760,700,22109,295000,700,42143,더오크,보모어 19년 피노 누아 캐스크 피니시,,295000,데일리샷,Y,140240,Y,47.5,Y,https://www.shilladfs.com/estore/kr/ko/p/5524533
GLENGOINE 12yo First-Fill Edition 1000ml,글렌고인,46.61,70719,1000,7072,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5865404
폴존 미투나 750ml,폴 존,126.5,191933,750,25591,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5461894
글렌피딕 21년 CNY 2026 리미티드 에디션 700ml,글렌피딕,134.64,204283,700,29183,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5904121
글렌모레이 럼 아그리꼴 700ml,글렌모레이,132.05,200353,700,28622,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5707055
잭다니엘 아메리칸 싱글몰트 1000ml,잭다니엘,55.2,83752,1000,8375,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5316476
잭다니엘 싱글배럴 100프루프 700ml,잭다니엘,64.6,98015,700,14002,85000,700,12143,알코홀릭 드링크 서울이수점,잭 다니엘스 싱글배럴 100 프루프,,85000,데일리샷,N,-13015,N,-15.3,Y,https://www.shilladfs.com/estore/kr/ko/p/5429236
위도우 제인 AMERICAN RYE 750ml,위도우 제인,135.85,206119,750,27483,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5337202
듀어스 더블더블 20년 500ml,듀어스,126.35,191705,500,38341,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5268250
펄킨위스키 49 TULLIBARDINE OA 700ml,펄킨 위스키,124.2,188443,700,26920,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5228761
더 글렌리벳 19년 700ml,글렌리벳,123.5,187381,700,26769,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5828030
발베니 클래식 VAP 700ml,발베니,59.59,90413,700,12916,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5516906
더 글렌그란트 12년 1000ml,더 글렌그란트,36.66,55622,1000,5562,57000,700,8143,아이위스키,더 글렌그란트 12년,59400,57000,데일리샷,Y,1378,Y,31.7,Y,https://www.shilladfs.com/estore/kr/ko/p/5224926
버팔로 트레이스 버번 위스키 1000ml,버팔로 트레이스,17.1,25945,1000,2594,,,,,,38800,38800,보유DB,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5310223
Old Pulteney 16 Years Old 700ml,올드풀트니,114.0,172967,700,24710,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5865719
Balblair 15 Years Old 1000ml,발블레어,112.5,170691,1000,17069,195000,700,27857,이마트24 신월스타점,발블레어 15년,,195000,데일리샷,Y,24309,Y,38.7,Y,https://www.shilladfs.com/estore/kr/ko/p/5865409
GLENSCOT LIQU 2016 Exclusive Cask 700ml,글렌 스코시아,112.5,170691,700,24384,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5712162
패터캐른 17년 700ml,패터캐른,68.2,103477,700,14782,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5401205
암룻 PEATED CASK STRENGTH 700ml,암룻,52.44,79565,700,11366,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5337845
브룩라디 Port Charlotte 10년 1000ml,브룩라디,109.25,165760,1000,16576,123000,700,17571,알코홀릭 드링크 서울이수점,브룩라디 포트샬롯 10년,,123000,데일리샷,N,-42760,Y,5.7,N,https://www.shilladfs.com/estore/kr/ko/p/5208379
기원 달 700ml,기원 위스키,54.15,82159,700,11737,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5757509
카발란 마스터 셀렉트 넘버 2 1000ml,카발란,108.0,163863,1000,16386,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5706812
카발란 마스터 셀렉트 넘버 1 1000ml,카발란,108.0,163863,1000,16386,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5707271
메이커스 마크 1000ml,메이커스마크,53.2,80718,1000,8072,34800,700,4971,바틀리어,메이커스 마크 700ml,49980,34800,데일리샷,N,-45918,N,-62.4,Y,https://www.shilladfs.com/estore/kr/ko/p/5070543
로크로몬드 12년 Perfectly Balanced 1000ml ,로크 로몬드,53.1,80566,1000,8057,59900,700,8557,느티나무 와인마트,로크로몬드 12년 700ml,,59900,데일리샷,N,-20666,Y,5.8,N,https://www.shilladfs.com/estore/kr/ko/p/5267807
요이치 싱글 몰트 그란데 700ml,닛카 위스키,104.5,158553,700,22650,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5804866
타케츠루 퓨어 몰트 그란데 700ml,닛카 위스키,104.5,158553,700,22650,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5804867
씨앤씨 버지니아 하이랜드 위스키 포트 캐스크 피니시 750ml,씨앤씨,34.78,52770,750,7036,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5359021
글렌드로낙 16년 700ml,글렌드로낙,103.95,157718,700,22531,329000,700,47000,피보,더 글렌드로낙 16년,,329000,데일리샷,Y,171282,Y,52.1,Y,https://www.shilladfs.com/estore/kr/ko/p/4391067
탈리스커 써지 700ml,탈리스커,51.66,78381,700,11197,149000,700,21286,로랜드 주류상회,탈리스커 써지,,149000,데일리샷,Y,70619,Y,47.4,Y,https://www.shilladfs.com/estore/kr/ko/p/5185537
폴 존 올로로소 쉐리 700ml,폴 존,99.75,151346,700,21621,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5312120
글렌알라키 9년 도우로밸리 700ml,글렌알라키,97.2,147477,700,21068,111000,700,15857,캐스크앤뀌베 사직점,글렌알라키 9년 도우로 밸리 와인 피니시,,111000,데일리샷,N,-36477,N,-32.9,Y,https://www.shilladfs.com/estore/kr/ko/p/5330414
레드브레스트 15년 700ml,제임슨,96.9,147022,700,21003,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5769829
부쉬밀 쉐리 캐스크 10년 1000ml,부쉬밀,31.5,47793,1000,4779,77000,1000,7700,보틀라운지,부쉬밀 10년 셰리 피니시 1L,,77000,데일리샷,Y,29207,Y,37.9,Y,https://www.shilladfs.com/estore/kr/ko/p/5200752
발렌타인 15년 GLENBURGIE 700ml,발렌타인,39.69,60220,700,8603,87000,700,12429,캐스크앤뀌베 서면점,발렌타인 싱글몰트 글렌버기 15년,,87000,데일리샷,Y,26780,Y,30.8,Y,https://www.shilladfs.com/estore/kr/ko/p/5499394
글렌피딕 Vat 2 Perpetual Collection1000ML,글렌피딕,47.94,72737,1000,7274,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5105344
맥네어스 럼릭 12년 700ml,맥네어스,95.4,144746,700,20678,69000,700,9857,주류상회Be,맥네어스 럼 릭 블렌디드 몰트 12년,,69000,데일리샷,N,-75746,N,-109.8,Y,https://www.shilladfs.com/estore/kr/ko/p/5372298
폴존 미니어처 세트 50ml*5,폴 존,31.5,47793,700,6828,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5885820
싱글톤 가든스 오브 어번던스 - 골든 어텀 오차드 1000ml,싱글톤,94.05,142698,1000,14270,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5478855
글렌알라키 12년 (24RB) 700ml,글렌알라키,90.95,137994,700,19713,89900,700,12843,피보,글렌알라키 12년,,89900,데일리샷,N,-48094,N,-53.5,Y,https://www.shilladfs.com/estore/kr/ko/p/5463343
폴 존 피엑스 쉐리 700ml,폴 존,45.15,68504,700,9786,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5312121
글렌모렌지 인피니타 18년 700ml,글렌모렌지,90.0,136553,700,19508,195000,700,27857,40도 마곡,글렌모렌지 디 인피니타 18년,,195000,데일리샷,Y,58447,Y,30.0,N,https://www.shilladfs.com/estore/kr/ko/p/5713332
카발란 클래식 1000ml,카발란,87.2,132304,1000,13230,129000,700,18429,피보,카발란 클래식 싱글몰트,,129000,데일리샷,N,-3304,Y,28.2,Y,https://www.shilladfs.com/estore/kr/ko/p/5101821
부나하벤 크루아모나 1000ml,부나하벤,86.4,131091,1000,13109,119000,1000,11900,보리상회,부나하벤 크루아모나 1L,,119000,데일리샷,N,-12091,N,-10.2,Y,https://www.shilladfs.com/estore/kr/ko/p/5229281
TAMDHU 14yo Ambar Vintage 2009 700ml,탐두,76.45,115994,700,16571,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5865403
폴 존 피티드 1000ml,폴 존,42.0,63725,1000,6372,115000,700,16429,40도 마곡,폴존 피티드 클래식 셀렉트 캐스크,,115000,데일리샷,Y,51275,Y,61.2,Y,https://www.shilladfs.com/estore/kr/ko/p/5311922
부쉬밀 버번 캐스크 15년 700ml,부쉬밀,85.5,129725,700,18532,149000,700,21286,탑 스피리츠,부쉬밀 15년,,149000,데일리샷,Y,19275,Y,12.9,Y,https://www.shilladfs.com/estore/kr/ko/p/5200759
뉴리프 싱글배럴 버번 750ml,뉴리프,83.6,126842,750,16912,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5917130
메이커스 마크 케스크 스트랭스 700ml,메이커스마크,83.6,126842,700,18120,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5125106
Old Pulteney 13 Years Old 1000ml,올드풀트니,82.65,125401,1000,12540,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5865718
ABERLOUR 13년 700ml,발렌타인,40.5,61449,700,8778,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5663013
더 글렌그란트 캐스크 헤이븐 1000ml,더 글렌그란트,39.15,59400,1000,5940,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5173367
이에이치 테일러 스몰배치 750ml,버팔로 트레이스,79.8,121077,750,16144,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5399401
시바스 리갈 18년 포이약 와인 캐스크 피니시 700ml,시바스리갈,79.56,120713,700,17245,104900,700,14986,와인갤러리 시흥,시바스 리갈 18년 700ml,,104900,데일리샷,N,-15813,N,-15.1,Y,https://www.shilladfs.com/estore/kr/ko/p/5616056
우드포드 리저브 디스틸러 셀렉트 1000ml,우드포드 리저브,47.5,72070,1000,7207,,,,,,58000,58000,보유DB,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5070939
고든앤맥패일 디스커버리 글렌로티스 11년 700ml,고든 앤 맥패일,78.85,119635,700,17091,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5677225
더 글렌리벳 12년 1000ml,글렌리벳,38.25,58035,1000,5804,57000,700,8143,오앤오샷앤바틀 기흥점,더 글렌리벳 12년,60900,57000,데일리샷,N,-1035,Y,28.7,Y,https://www.shilladfs.com/estore/kr/ko/p/5615979
와일드터키 101 1000ml,와일드터키,24.96,37871,1000,3787,39900,750,5320,와인딩,와일드 터키 101 750ml,,39900,데일리샷,Y,2029,Y,28.8,Y,https://www.shilladfs.com/estore/kr/ko/p/5173368
글렌리벳 TGL TCM Rare Cask 1000ml,글렌리벳,77.55,117663,1000,11766,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5081234
보모어 16년 700ml,보모어,55.0,83449,700,11921,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5524532
페넬로페 프로젝트 X 스페니시 브랜디 750ml,페닐로페,71.2,108028,750,14404,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5916422
부나하벤 에리 1000ml,부나하벤,74.7,113339,1000,11334,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5229282
짐빔 블랙 체커팩 1000ml,짐빔,18.72,28403,1000,2840,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5394250
글렌피딕 18년 벳4 퍼페츄얼 IGL CNY 700ml,글렌피딕,73.95,112201,700,16029,189000,700,27000,캐스크앤뀌베 서면점,글렌피딕 18년 퍼페추얼 컬렉션 VAT 04,,189000,데일리샷,Y,76799,Y,40.6,N,https://www.shilladfs.com/estore/kr/ko/p/5904120
글렌글라사 포트소이 700ml,GLENGLASSAUGH,40.81,61919,700,8846,,,,,,89800,89800,보유DB,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5534639
벤리악 Triple Distilled 10년 1000ml,벤리악,73.15,110987,1000,11099,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5303576
카발란 콘서트마스터 1000ml,카발란,70.4,106815,1000,10682,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5101466
메이커스 마크 101 1000ml,메이커스마크,70.3,106663,1000,10666,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5285854
더글라스랭 OP ARDMORE 15년 700ml,더글라스랭,70.03,106253,700,15179,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5228865
조니워커 블랙 루비 1000ml,조니워커,31.95,48476,1000,4848,39000,700,5571,더 몰트,조니워커 블랙 700ml,44800,39000,데일리샷,N,-9476,Y,13.0,Y,https://www.shilladfs.com/estore/kr/ko/p/5624247
부쉬밀 블랙부쉬 80/20 PX 1000ml,부쉬밀,22.5,34138,1000,3414,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5200758
잭다니엘 허니 1000ml,잭다니엘,33.25,50449,1000,5045,38000,1000,3800,더 몰트샵 역삼점,잭 다니엘스 허니 1L,49800,38000,데일리샷,N,-12449,N,-32.8,Y,https://www.shilladfs.com/estore/kr/ko/p/3299108
글렌글라사 샌드엔드 700ml,GLENGLASSAUGH,66.5,100897,700,14414,,,,,,79800,79800,보유DB,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5534637
