위스키명,증류소,지역,도수,캐스크,맛_노트,스토리,출처,수집일
ABERLOUR 16년 700ml,아벨라워 증류소,스코틀랜드 스페이사이드,43%,퍼스트필 버번 캐스크 + 셰리 버트 더블 캐스크,"따뜻한 황금빛 호박색. 크리미한 건포도 향과 향신료·견과류. 꽃향·향신료에 자두 과일 단맛과 부드러운 오크. 꿀처럼 따뜻하고 긴 피니시이며 오렌지 껍질·시트러스 오일이 길게 남는다.","아벨라워의 더블 캐스크 매처드 16년. 퍼스트필 버번 캐스크와 셰리 버트에서 16년 숙성하며, 셰리 캐릭터가 두드러진다. 통상 43%(일부 최근 배치는 40%).",scotchaddict.com·Master of Malt·Flaviar·Drinkhacker (2026-06-09 리서치),2026-06-09
주라 더 베이 1000ml,아일 오브 주라 증류소,스코틀랜드 아일랜즈(주라섬),44%,아메리칸 화이트 오크 엑스버번 숙성 후 15년 PX 셰리 캐스크 피니시,"토피 사과와 달콤한 향신료의 향. 건포도·무화과·생강 향신료에 달콤한 감초가 터지는 맛. 무화과·진저브레드·건포도가 어우러진다.","아일 오브 주라 면세 전용 표현으로 섬의 만(灣)에 헌정한 술. 엑스버번 배럴 숙성 후 15년 숙성 PX 셰리 캐스크에서 피니시하며 44%로 병입된다.",JuraWhisky.com·mywhiskeydiaries.com·delicando.com (2026-06-09 리서치),2026-06-09
주라 더 사운드 1000ml,아일 오브 주라 증류소,스코틀랜드 아일랜즈(주라섬),42.5%,아메리칸 오크 엑스버번 배럴 숙성 후 15년 PX 셰리 캐스크 피니시,"구운 헤이즐넛·오렌지·메이플 시럽의 향. 캐러멜 퍼지·오렌지 껍질·블랙포레스트 과일·밀크 초콜릿의 맛.","아일 오브 주라의 면세 전용 무연산(NAS) 1L 표현. 엑스버번 배럴에서 초기 숙성 후 15년 숙성 PX 셰리 캐스크에서 피니시하며 42.5%로 병입된다.",JuraWhisky.com·Master of Malt·whiskynotes.be (2026-06-09 리서치),2026-06-09
벤리악 Quarter Cask Classic 1000ml,벤리악 증류소,스코틀랜드 스페이사이드,46%,버번 배럴 숙성 후 쿼터 캐스크(소형통) 추가 숙성,"캔디드 과일·풍부한 바닐라·신선한 오크 향. 설탕에 절인 배·꿀 살구의 맛. 신선한 보리 크림과 오크 향신료의 피니시.","벤리악의 무연산(NAS) 언피티드 싱글몰트. 버번 배럴 숙성 후 작은 쿼터 캐스크에서 추가 숙성해 목재 접촉을 높여 풍미 깊이를 더한다. 논칠필터·무착색·46%.",BenriachDistillery.com·finedrams.com·Whiskybase (2026-06-09 리서치),2026-06-09
벤리악 Quarter Cask Peated 1000ml,벤리악 증류소,스코틀랜드 스페이사이드,46%,피티드 몰트 + 쿼터 캐스크(소형통) 숙성,"우아한 나무 연기와 히더, 잘 익은 과수원 과일·복숭아·계피 설탕의 향. 강렬한 피트 스모크가 풋배·천도복숭아로 누그러지는 맛. 오크·바닐라에 백후추·라임의 산뜻한 스모키 피니시.","벤리악의 피티드 쿼터 캐스크 표현. 피트로 건조한 맥아를 사용하고 작은 쿼터 캐스크에서 숙성한다. 논칠필터·무착색·46%. 2019 샌프란시스코 월드 스피리츠 골드 메달.",TheWhiskyExchange·whiskynotes.be·HTFW (2026-06-09 리서치),2026-06-09
더 글렌리벳 12년 1000ml,더 글렌리벳 증류소,스코틀랜드 스페이사이드,40%,유러피언 오크 + 아메리칸 오크 더블 오크,"풀·꽃향에 레몬·자몽의 부드러운 시트러스, 아몬드·헤이즐넛. 부드러운 입안에 오렌지·레몬·바닐라·토피, 복숭아·살구·사과. 오크 향신료가 짧게~중간으로 남는 피니시.","스페이사이드의 대표 증류소 더 글렌리벳의 코어 12년 '더블 오크'. 유러피언 오크와 아메리칸 오크 두 종류의 캐스크에서 숙성하며 40%로 병입된다.",TheWhiskeyWash·scotchaddict.com·The Whisky Exchange (2026-06-09 리서치),2026-06-09
더 글렌리벳 16년 1000ml,더 글렌리벳 증류소,스코틀랜드 스페이사이드,48%,100% 퍼스트필 엑스버번 캐스크 (Nadurra),"바닐라·우드 스파이스·꽃향에 꿀·구운 오크·잘 익은 바나나. 오일리한 입안에 바닐라·후추·오크와 복숭아·사과, 생강 끝맛. 길고 드라이한 피니시.","면세 전용 1L '나두라(Nadurra) 16년'. 100% 퍼스트필 엑스버번 캐스크에서 숙성한 논칠필터 표현으로, 면세 1L는 48%로 병입된다(70cl 내추럴 캐스크 스트렝스 버전과 구분).",rebmordechaireviews.blogspot.com·Whisky Connosr·TheWhiskeyShelf (2026-06-09 리서치),2026-06-09
아녹 12년 700ml,녹두 증류소,스코틀랜드 하이랜드,40%,엑스버번·셰리 캐스크 (언피티드),"꿀·녹색 레몬·잘 익은 사과·배·멜론의 향에 맥아·바닐라. 신선한 레몬·풋사과·바나나에 바닐라·아이싱 슈가·꿀의 맛. 백후추가 짧게 남는 피니시.","녹두(Knockdhu) 증류소에서 생산하는 하이랜드 싱글몰트 아녹의 코어 12년. 완전 언피티드로 산뜻하고 꽃·과일 향이 두드러지며 40%로 병입된다.",TheWhiskeyWash·roadtodram.com·Master of Malt (2026-06-09 리서치),2026-06-09
화이트헤더 15년 700ml,블렌디드(빌리 워커),스코틀랜드,46%,노스 하이랜드·스페이사이드·아일라 몰트 + 그레인 블렌드,"히더 꿀·버터스카치의 향에 오렌지 껍질·파인애플·민트, 옅은 피트. 당밀·히더 꿀·버터스카치에 오렌지·자몽·아몬드, 모카·생강과 옅은 피트 스모크 피니시.","글렌알라키·글렌드로낙으로 유명한 마스터 블렌더 빌리 워커가 2021년 부활시킨 블렌디드 스카치 '화이트 헤더'의 15년. 그레인 53%에 노스 하이랜드·스페이사이드·소량 아일라 몰트 47% 블렌드, 46%. IWSC 골드(95점).",HTFW·abbeywhisky.com·wordsofwhisky.com (2026-06-09 리서치),2026-06-09
하이랜드 파크 BEAR 1000ml,하이랜드 파크 증류소,스코틀랜드 아일랜즈(오크니),40%,셰리 시즌드 아메리칸 오크 캐스크,"앞선 피트에 이어 커피에 적신 브리오슈·신선한 꿀, 오렌지 껍질·생강. 여전히 스모키하면서 꽃향 보리·샌들우드·바닐라 맥아. 토스트·히더 꿀·말린 과일·계피.","하이랜드 파크의 면세 전용 'Spirit of the Bear(곰의 정신)'. 오크니의 바이킹 헤리티지를 담은 무연산(NAS) 표현으로, 셰리 시즌드 아메리칸 오크에서 숙성하며 1L·40%로 병입된다.",williamswhiskydatabase.com·Master of Malt·TheWhiskeyWash (2026-06-09 리서치),2026-06-09
패터캐른 14년 700ml,패터캐른 증류소,스코틀랜드 하이랜드,46%,아메리칸 화이트 오크 엑스버번 배럴,"열대·과수원 과일에 블라썸 꿀·브리오슈·은은한 향신료의 향. 잘 익은 파인애플·바닐라·옅은 카카오·계피의 맛. 향신료 살구·토피·구운 아몬드·달콤한 베이킹 스파이스 피니시.","패터캐른(Fettercairn)의 면세 전용 14년. 아메리칸 화이트 오크 엑스버번 배럴에서 14년 숙성한 열대 과일풍 하이랜드 싱글몰트로, 논칠필터·무착색·46%.",FettercairnWhisky.com·onemoredram.com·Dramface (2026-06-09 리서치),2026-06-09
패터캐른 17년 700ml,패터캐른 증류소,스코틀랜드 하이랜드,47%,아메리칸 화이트 오크 엑스버번 배럴,"꿀·열대 과일·계피·따뜻한 바닐라의 향. 풍부한 파인애플·망고·크렘 브륄레·코코넛의 맛. 토피·리치·진저 케이크·카카오 피니시.","패터캐른의 면세 전용 17년. 엄선한 아메리칸 화이트 오크 엑스버번 배럴에서 전 기간 숙성한 논칠필터 싱글몰트로, 47%로 병입된다.",FettercairnWhisky.com·World Duty Free (2026-06-09 리서치),2026-06-09
글렌글라사 포트소이 700ml,글렌글라사 증류소,스코틀랜드 하이랜드(연안),49.1%,셰리·버번·포트 캐스크 결합 (피티드),"피트와 해양 소금이 즉각 올라오며 초콜릿·바닐라·토피, 사과·캐러멜. 블랙베리·토피·붉은 과일·소금 캐러멜에 당밀·간장·캔디드 생강·후추. 달콤·스모키·짭조름함이 공존하는 피니시.","글렌글라사의 무연산(NAS) 피티드 표현 '포트소이'. 셰리·버번·포트 캐스크를 결합 숙성하며 연안 증류소 특유의 해양 캐릭터가 두드러진다. 49.1%.",TheWhiskeyWash·HTFW·Dramface (2026-06-09 리서치),2026-06-09
Balblair 12 Years Old 1000ml,발블레어 증류소,스코틀랜드 하이랜드,46%,엑스버번 + 더블 파이어드 아메리칸 오크,"레몬·바닐라·크림·파인애플·풋사과의 밝고 산뜻한 향. 미디엄 바디에 오크의 드라이 향신료와 옅은 가죽, 복숭아·레몬·열대 과일. 레모네이드·버터스카치·바닐라 피니시.","하이랜드 발블레어 증류소의 코어 12년. 엑스버번과 더블 파이어드 아메리칸 오크 캐스크에서 숙성하며, 무착색·논칠필터·46%.",TheWhiskeyWash·Whiskybase·Master of Malt (2026-06-09 리서치),2026-06-09
싱글톤 더프타운 25년 700ml,더프타운 증류소,스코틀랜드 스페이사이드,43%,유러피언 오크 + 리필 엑스버번 숙성 후 아메리칸 오크 결합 (트리니티 캐스크),"열대 과일·베이킹 스파이스·꿀의 향에 살구·복숭아·구운 사과·건포도, 계피·후추. 잘 익은 사과·배·살구·블러드 오렌지·패션프루트에 캐러멜·토피·꿀 단맛. 바닐라·생강·꿀이 길게 남는 피니시.","디아지오 싱글톤 브랜드의 더프타운 증류소 25년. 유러피언 오크와 리필 엑스버번 캐스크에서 25년 이상 숙성 후 아메리칸 오크에서 결합(트리니티 캐스크)한 표현으로 43%로 병입된다.",Diageo Rare & Exceptional·maltspedia.com·The Whisky Shop (2026-06-09 리서치),2026-06-09
부쉬밀 18년 트리플 캐스크 700ml,부쉬밀(Bushmills),아일랜드(북아일랜드),46%,버번 배럴+올로로소 셰리 버트 숙성 후 콜레이타 포트 캐스크 피니시,"바닐라와 아몬드의 단맛에 말린 과일의 깊이가 더해지고, 포트 캐스크가 신선한 과일향과 크렘브륄레 같은 실키한 단맛을 입힌다.","부쉬밀은 1608년 증류 면허를 받은 세계에서 가장 오래된 아이리시 위스키 증류소다. 18년은 100% 맥아 보리로 3회 증류 후 17년 이상 버번·셰리 캐스크에서 숙성하고 희귀한 콜레이타 포트 캐스크에서 마무리한 싱글몰트다.",moodiedavittreport.com·bushmills.com (2026-06-09 리서치),2026-06-09
부쉬밀 블랙부쉬 80/20 PX 1000ml,부쉬밀(Bushmills),아일랜드(북아일랜드),40%,올로로소 셰리 캐스크 숙성 맥아 위스키 80% + 그레인 위스키 20% 블렌드,"복숭아·익힌 사과·오렌지 제스트의 과일향에 말린 과일·다크초콜릿·구운 견과가 더해지고, 약간의 향신료와 바닐라가 받쳐준다.","블랙부쉬는 부쉬밀의 대표 블렌디드 아이리시 위스키로, 올로로소 셰리 캐스크에서 숙성한 맥아 위스키를 높은 비율(약 80%)로 사용하고 그레인 위스키(약 20%)를 섞어 만든다. 풍부한 셰리 영향과 부드러움이 특징이다.",alcoholandaphorisms.wordpress.com·wordsofwhisky.com·winenliquor.com (2026-06-09 리서치),2026-06-09
부쉬밀 쉐리 캐스크 10년 1000ml,부쉬밀(Bushmills),아일랜드(북아일랜드),40%,버번 배럴 + 올로로소 셰리 캐스크 10년 숙성,"꿀·바닐라·밀크초콜릿의 부드러운 단맛에 사과·배 같은 과수원 과일이 어우러지고, 올로로소 셰리에서 온 말린 과일과 견과 뉘앙스가 균형을 잡는다.","부쉬밀 10년은 100% 아일랜드산 맥아 보리로 3회 증류해 버번 배럴과 올로로소 셰리 캐스크에서 최소 10년 숙성한 싱글몰트다. 세계에서 가장 오래된 면허 증류소 부쉬밀의 핵심 싱글몰트 라인업이다.",bushmills.com·drinkhacker.com·lifeofandra.com (2026-06-09 리서치),2026-06-09
부쉬밀 오리지널 아이리쉬 위스키 1000ml,부쉬밀(Bushmills),아일랜드(북아일랜드),40%,엑스버번 캐스크 + 엑스셰리 캐스크 5년 숙성 (몰트+그레인 블렌드),"가벼운 과일향과 따뜻한 향신료로 시작해 부드러운 바닐라와 꿀 같은 단맛으로 이어지고, 상쾌하고 깔끔한 피니시로 마무리된다.","부쉬밀 오리지널은 싱글몰트 위스키와 가벼운 그레인 위스키를 블렌딩한 부쉬밀의 입문용 대표 제품이다. 5년 숙성한 위스키들을 버번·셰리 캐스크에서 숙성해 가볍고 부드러운 캐릭터를 낸다.",bushmills.com·masterofmalt.com·whiskyanalysis.com (2026-06-09 리서치),2026-06-09
BUSHMILLS BOURBON CASK / Single Malt Whisky,부쉬밀(Bushmills),아일랜드(북아일랜드),40%,루이빌산 마스터 쿠퍼가 특수 차링한 버번 캐스크 숙성,"바닐라·익은 배·구운 오크에 오크 스파이스와 크렘브륄레 향이 더해지고, 다크초콜릿과 오크 차르의 약간의 쌉쌀함, 길게 가는 약간 드라이한 피니시가 특징이다.","부쉬밀 버번 캐스크 리저브는 1890년 미국으로 부쉬밀을 실어 나른 증기선 SS 부쉬밀에서 영감을 받은 스팀십 컬렉션(여행자 면세 전용)의 싱글몰트다. 켄터키 루이빌 마스터 쿠퍼가 특수 차링한 버번 캐스크에서 숙성했다.",masterofmalt.com·thewhiskeywash.com (2026-06-09 리서치),2026-06-09
잭다니엘 골드 700ml,잭다니엘(Jack Daniel's),미국(테네시),40%,버진 아메리칸 화이트 오크 숙성 후 메이플우드 배럴 피니시 + 메이플우드 차콜 2차 여과,"메이플 시럽과 바나나의 달콤한 향에 캐러멜이 밀려오고, 너트메그·시나몬 향신료와 밀크초콜릿·바나나의 캔디 같은 길고 달콤한 피니시가 이어진다.","잭다니엘 No.27 골드는 버진 오크에서 숙성한 뒤 메이플우드 배럴에서 추가 피니시하고 메이플우드 숯으로 두 번 여과한 테네시 위스키다. 원래 여행자 면세 전용으로 출시되었다가 2015년부터 폭넓게 출시되었다.",thewhiskyexchange.com·drinkhacker.com·thebourbonculture.com (2026-06-09 리서치),2026-06-09
잭다니엘 아메리칸 싱글몰트 1000ml,잭다니엘(Jack Daniel's),미국(테네시),45%,차드 아메리칸 화이트 오크 4년 + 올로로소 셰리 캐스크 2년 (총 6년) 숙성,"셰리의 단맛이 잭다니엘 특유의 땅콩 향과 어우러지고, 캐러멜·다크초콜릿·체리와 시나몬·클로브 향신료, 피칸·아몬드 버터의 견과 뉘앙스가 더해진다.","잭다니엘 아메리칸 싱글몰트는 100% 맥아 보리로 만든 잭다니엘 최초의 상시 싱글몰트로, 차드 화이트 오크에서 숙성 후 안토니오 파에스 로바토 쿠퍼리지의 올로로소 셰리 캐스크에서 추가 숙성했다. 잭다니엘 시그니처 차콜 멜로잉을 거친다.",breakingbourbon.com·88bamboo.co·whisky.com (2026-06-09 리서치),2026-06-09
잭다니엘 Black Label Tin 1000ml,잭다니엘(Jack Daniel's),미국(테네시),40%,새 차드 아메리칸 오크 배럴 숙성 + 사탕단풍 숯 차콜 멜로잉,"갓 짠 시트러스·구운 오크·메이플의 향에 번트 토피·체리파이·바나나·캐러멜의 부드럽고 벨벳 같은 맛이 이어지고, 열대 과일과 향신료의 매끄러운 피니시가 난다.","잭다니엘 올드 No.7 블랙 라벨은 옥수수 80%·보리 12%·호밀 8%의 사워 매시로 만든 테네시 위스키다. 증류 후 사탕단풍 숯 10피트를 통과시키는 링컨 카운티 프로세스(차콜 멜로잉)를 거치는 것이 특징이다.",thewhiskeywash.com·thewhiskeyjug.com·distiller.com (2026-06-09 리서치),2026-06-09
젠틀맨스 컷 버번 750ml,젠틀맨스 컷(Gentleman's Cut),미국(켄터키),45%,새 차드 화이트 오크 배럴 5~7년 숙성,"꿀·바닐라빈·캐러멜의 단맛에 호밀에서 온 흙내·후추 향신료와 맥아 보리의 코코아·토스트 풍미가 더해지고, 부드럽고 길게 가는 피니시가 난다.","젠틀맨스 컷은 NBA 스타 스테픈 커리가 선보인 켄터키 스트레이트 버번이다. 옥수수 75%·호밀 21%·맥아 보리 4%의 매시빌로 500갤런 구리 팟 스틸에서 증류해 5~7년 숙성했다.",gentlemanscutbourbon.com·thebourboncentral.com·sipmightily.substack.com (2026-06-09 리서치),2026-06-09
엔젤스 엔비 스몰 700ml,엔젤스 엔비(Angel's Envy),미국(켄터키),43.3%,버번 약 6년 숙성 후 루비 포트 와인 캐스크 3~6개월 피니시,"옥수수·바닐라에 포트 와인의 건포도·대추 과일향이 더해지고, 캐러멜콘·대추·베리와 시나몬·너트메그 향신료, 메이플 시럽과 구운 견과의 풍부하고 벨벳 같은 질감이 특징이다.","엔젤스 엔비는 옥수수 72%·호밀 18%·맥아 보리 10%의 매시빌로 만든 켄터키 스트레이트 버번을 루비 포트 와인 캐스크에서 마무리한 스몰배치 제품이다. 포트 캐스크 피니시 버번을 상시 제품으로 미국에 선보인 선구적 브랜드다.",angelsenvy.com·breakingbourbon.com·bourbonveach.com (2026-06-09 리서치),2026-06-09
엔젤스 엔비 플래그십 700ml,엔젤스 엔비(Angel's Envy),미국(켄터키),43.3%,버번 약 6년 숙성 후 루비 포트 와인 캐스크 3~6개월 피니시,"옥수수·바닐라에 포트 와인의 건포도·대추 과일향이 더해지고, 캐러멜콘·대추·베리와 시나몬·너트메그 향신료, 메이플 시럽과 구운 견과의 풍부하고 벨벳 같은 질감이 특징이다.","엔젤스 엔비 플래그십은 옥수수 72%·호밀 18%·맥아 보리 10%의 매시빌 켄터키 스트레이트 버번을 8~12배럴 단위 스몰배치로 블렌딩해 루비 포트 와인 캐스크에서 마무리한 대표 제품이다. 브랜드 창립 당시 단 하나의 제품으로 출발했다.",angelsenvy.com·breakingbourbon.com·bourbonveach.com (2026-06-09 리서치),2026-06-09
웰러 스페셜 리저브 750ml,W.L. 웰러(W.L. Weller / 버팔로 트레이스),미국(켄터키),45%,새 차드 오크 배럴 숙성 (휘티드 버번),"바닐라 웨이퍼·꿀의 달콤한 향에 캐러멜·바닐라·가벼운 과일이 이어지고, 체리와 부드러운 오크, 시나몬·사과·흑후추의 다소 타닉한 피니시가 난다.","웰러 스페셜 리저브는 버팔로 트레이스 증류소의 휘티드 버번으로, 호밀 대신 밀(옥수수 70%·밀 16%·맥아 보리 14%)을 사용해 부드러운 단맛이 특징이다. 접근성 좋고 마시기 편한 휘티드 버번의 대표 격이다.",thewhiskeyshelf.com·breakingbourbon.com·nestorliquor.com (2026-06-09 리서치),2026-06-09
웰러 스페셜 리저브 375ml,W.L. 웰러(W.L. Weller / 버팔로 트레이스),미국(켄터키),45%,새 차드 오크 배럴 숙성 (휘티드 버번),"바닐라 웨이퍼·꿀의 달콤한 향에 캐러멜·바닐라·가벼운 과일이 이어지고, 체리와 부드러운 오크, 시나몬·사과·흑후추의 다소 타닉한 피니시가 난다.","웰러 스페셜 리저브는 버팔로 트레이스 증류소의 휘티드 버번으로, 호밀 대신 밀(옥수수 70%·밀 16%·맥아 보리 14%)을 사용해 부드러운 단맛이 특징이다. 접근성 좋고 마시기 편한 휘티드 버번의 대표 격이다. (375ml 용량)",thewhiskeyshelf.com·breakingbourbon.com·nestorliquor.com (2026-06-09 리서치),2026-06-09
사제락 라이 위스키 750ml,사제락(Sazerac / 버팔로 트레이스),미국(켄터키),45%,새 차드 오크 배럴 숙성 (스트레이트 라이),"클로브·바닐라·아니스·후추의 향에 캔디드 스파이스와 시트러스가 더해지고, 리코리스의 힌트가 감도는 부드럽고 큰 피니시가 특징이다.","사제락 스트레이트 라이는 1800년대 뉴올리언스의 라이 위스키 전통을 잇는 버팔로 트레이스 증류소 제품이다. 로열 스트리트의 사제락 커피 하우스에서 라이 위스키와 페이쇼 비터스로 만든 '사제락' 칵테일은 미국 최초의 브랜드 칵테일로 불린다.",buffalotracedistillery.com·breakingbourbon.com·whiskyadvocate.com (2026-06-09 리서치),2026-06-09
에반 윌리엄스 싱글 배럴 750ml,에반 윌리엄스(Evan Williams / 헤븐 힐),미국(켄터키),43.3%,새 아메리칸 오크 배럴 7~9년 단일 배럴 숙성,"캐러멜·구운 오크·꿀의 향에 오크 스파이스·바닐라·사과·오렌지 제스트가 이어지고, 달콤한 오크와 향신료·말린 과일의 길고 우아한 피니시가 난다.","에반 윌리엄스 싱글 배럴은 옥수수 78%·호밀 10%·맥아 보리 12% 매시빌의 헤븐 힐 버번으로, 시장에서 유일하게 빈티지(통입 연도)를 표기하는 단일 배럴 버번이다. 각 병에 배럴 번호·통입/병입 연도가 표기된다.",heavenhilldistillery.com·thebourboncentral.com·distiller.com (2026-06-09 리서치),2026-06-09
켄터키아울 더 와이즈맨 스트라이트 버번 위스키 700ml,켄터키 아울(Kentucky Owl),미국(켄터키),45.4%,새 차드 오크 배럴 숙성 (휘티드+하이라이 버번 블렌드),"단 옥수수·밀·은은한 호밀 향에 잘 익은 베리·배·올스파이스가 더해지고, 땅콩버터·말린 과일(커런트·무화과)·생강·흰후추와 솔티드 캐러멜의 풍미가 이어진다.","켄터키 아울 더 와이즈맨은 자가 숙성한 4년 휘티드·하이라이 버번에 소싱한 5.5년·8.5년 켄터키 버번을 블렌딩한 켄터키 스트레이트 버번이다. 90.8 프루프(45.4%)로 병입된다.",binendswine.com·whiskeyfortheages.com·distiller.com (2026-06-09 리서치),2026-06-09
컴파스 박스 Peat Monster 700ml,컴파스 박스(Compass Box),스코틀랜드(아일라 블렌디드 몰트),46%,리필 혹스헤드 숙성 (쿨일라 64% + 라프로익 35% 등 아일라 몰트) 논칠필터·무착색,"달콤하고 재 같은 꽃향의 스모크에 약품·해양 노트가 더해지고, 꿀 바른 배·사과의 단맛 위로 모닥불 스모크·말린 과일·크리미한 바닐라가 어우러진다.","컴파스 박스 피트 몬스터는 아일라 싱글몰트(약 10~15년 쿨일라와 8년 라프로익)를 정교하게 블렌딩한 블렌디드 몰트 스카치다. 라프로익이 중심을 잡고 쿨일라가 깊이를 더해 우아한 아일라 피트를 표현한다.",compassboxwhisky.com·masterofmalt.com·scotchnoob.com (2026-06-09 리서치),2026-06-09
암룻 PEATED CASK STRENGTH 700ml,암룻(Amrut),인도,62.8%,엑스버번 배럴 + 새 차드 오크 4~6년 숙성 논칠필터·무착색 (캐스크 스트렝스),"허브·맥아의 단맛과 그을린 피트, 말린 과수원 과일·대추·흑설탕에 시트러스·바나나·바다 소금이 더해지고, 바닐라·꿀과 가죽 향신료의 풍부하고 스모키한 긴 피니시가 난다.","암룻 피티드 캐스크 스트렝스는 스코틀랜드산 100% 피티드 보리로 만든 인도 싱글몰트로, 더운 인도 기후에서 4~6년 숙성해 62.8% 캐스크 스트렝스로 병입한다. 강렬하면서도 의외로 접근성 있는 캐릭터가 특징이다.",amrutdistilleries.com·thewhiskeyjug.com·raschvin.com (2026-06-09 리서치),2026-06-09
싱글톤 더프타운 21년 700ml,더프타운 (Dufftown),스코틀랜드 스페이사이드,43%,"리필·엑스버번·엑스셰리 3종 캐스크 결합 숙성(트리니티 캐스크 하모니), 21년 이상, 논칠필터","셰리에 절인 복숭아·생강·꿀에 잰 맥아와 말린 과일·캐러멜·다크초콜릿·무화과, 길고 부드러운 마무리. 더프타운 특유의 둥근 부드러움이 특징.",디아지오가 더프타운 증류소 원액으로 내는 싱글톤 더프타운 라인의 고연산 표현. 셰리 영향이 짙은 스페이사이드 싱글몰트로 21년 장기 숙성품이다.,Diageo Rare & Exceptional · The Whisky Exchange · Best Whiskey Guide (2026-06-10 리서치),2026-06-10
PAUL JOHN PEATED 올로로소 700ml,폴 존 (Paul John / John Distilleries),인도 고아,57.4% (배치별 상이),엑스버번 배럴 약 3년 숙성 후 올로로소 셰리 캐스크 약 4년 추가 숙성(피티드 원액),"바닐라·스파이스의 향, 달콤한 붉은 과일·캐러멜·바닐라·아몬드의 견과향, 다크초콜릿과 은은한 오크의 길고 따뜻한 마무리. 높은 도수에도 실키하고 균형 잡힘.",인도 고아의 폴 존(존 디스틸러리스)이 내는 피티드 인디언 싱글몰트의 올로로소 셰리 캐스크 표현. 높은 엔젤스 셰어로 캐스크당 약 252병만 생산되는 한정 릴리스. 단일 캐스크라 도수·세부는 자매캐스크/배치 기준.,Paul John 공식 · Whiskybase · The Whiskey Jug (2026-06-10 리서치),2026-06-10
패터캐른 25년 700ml,패터캐른 (Fettercairn),스코틀랜드 하이랜드,46.3%,"엑스버번 배럴 중심의 장기 숙성(25년), 자연색·논칠필터 경향",열대 과일과 바나나케이크·패션프루트·메이플시럽·달콤한 시나몬으로 이어지는 패터캐른 특유의 부드럽고 과일 풍부한 하우스 스타일.,증류 시 구리 냉각 링(쿨링 링)으로 환류·순도를 높이는 독특한 방식으로 알려진 하이랜드 증류소 패터캐른의 25년 장기 숙성 싱글몰트.,Heinemann · Frankfurt Airport Shop · Fettercairn 공식 (2026-06-10 리서치),2026-06-10
PAUL JOHN UNPEATED 올로로소 700ml,폴 존 (Paul John / John Distilleries),인도 고아,48%,"퍼스트필 엑스버번 배럴 최소 5년 숙성 후 퍼스트필 올로로소 셰리 캐스크 약 2년 추가 숙성(약 7년 추정), 논칠필터","말린 껍질·졸인 과일·호두·크리스마스케이크의 향, 블랙베리·다크초콜릿·오렌지 오일·스파이시 오크의 입안, 코코아와 셰리 오크의 길고 우아한 마무리.",인도 고아의 폴 존이 내는 언피티드 인디언 싱글몰트의 올로로소 셀렉트 캐스크. 셰리 풍미가 짙은 폴 존의 대표 셰리 캐스크 표현이다.,Paul John 공식 · Master of Malt · The Whiskey Jug (2026-06-10 리서치),2026-06-10
싱글톤 가든스 오브 어번던스 - 이그저틱 스파이스 그로브 1000ml,싱글톤 (오브 글렌둘란) (The Singleton of Glendullan),스코틀랜드 스페이사이드,42.8%,트리플 캐스크(엑스-레드와인 + 리쥬버네이티드 캐스크 후 리저브 오크 캐스크 매링),"구운 무화과·사과에 시나몬·코코아·너트맥의 향, 부드럽고 풍부한 구운 사과·무화과·레드와인 졸인 배, 후반에 토스트 오크·시나몬·생강·감초의 스파이스가 길게 남는 여운.","디아지오 싱글톤 브랜드가 약 10년 만에 선보인 트래블 리테일(면세) 전용 'Gardens of Abundance' 컬렉션 중 하나로, 글렌둘란 원액 기반 NAS 1L 면세 한정 표현. 마스터 블렌더 Craig Wilson.",Whisky For Everyone · Whisky Magazine · Malts.com 공식 (2026-06-10 리서치),2026-06-10
미클토어 오리지널 700ml,글렌알라키 (GlenAllachie) — Meikle Tòir,스코틀랜드 스페이사이드,50% (피트 35ppm),"퍼스트필 버번 배럴·토스티드 버진 아메리칸 오크·라이 배럴 숙성, 5년, 자연색·논칠필터","베이킹 스파이스·꿀·에스프레소·헤이즐넛·스모크 아몬드·버터스카치의 향, 달콤한 피트·다크초콜릿·헤더꿀·시나몬·생강의 입안, 가볍고 달콤하게 스모크가 잦아드는 마무리.",빌리 워커가 글렌알라키 증류소에서 만든 피티드 스페이사이드 싱글몰트 브랜드 'Meikle Tòir'(스코트어 '큰 추구')의 코어 The Original. 본토 세인트퍼거스 피트로 달콤한 스모크가 특징인 피티드 싱글몰트.,Meikle Tòir 공식 · The Whiskey Wash · Words of Whisky (2026-06-10 리서치),2026-06-10
