술이름,가격_KRW,위치,지점,가져온날짜,출처,신뢰도,비고
글렌피딕 15년 700ml,99800,트레이더스,구월점,2026-06-08,유튜브 @whiskeypick / k3GQq_-rD1k @ 46초 (프레임OCR · 트레이더스 구월점),중,프레임OCR 보정 '글렌피릭15년700ml'→글렌피딕 15년; id=w007; brand_score=0.75
조니워커 그린라벨 15년 700ml,69800,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 264초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '조니익커그린라벨700m'→조니워커 그린라벨 15년; id=w042; brand_score=alias0.88
조니워커 레드라벨 1750ml,49940,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 272초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '조니워커 레드1.75L'→조니워커 레드라벨; id=w049; brand_score=0.86
조니워커 블랙라벨 12년 700ml,44980,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 283초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '조니워커블랙라벨700m'→조니워커 블랙라벨 12년; id=w050; brand_score=alias_exact
짐빔 화이트 750ml,19980,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 290초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '짐빔화이트750ml'→짐빔 화이트; id=w065; brand_score=1.0
카발란 디스틸러리 셀렉트 700ml,69800,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 296초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '카발란디스틸러리셀렉트 싱글몰트 700m'→카발란 디스틸러리 셀렉트; id=w084; brand_score=0.73
칼라일 1500ml,23980,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 302초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '칼라일블렌디드스카치 위스키1.5L'→칼라일; id=w130; brand_score=alias0.92
커티삭 프로히비션 1L,39980,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 308초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '커티삭프로히비션1L'→커티삭 프로히비션; id=w058; brand_score=1.0
클라이넬리시 14년 700ml,84800,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 316초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '클라이넬리쉬14년700ml'→클라이넬리시 14년; id=w025; brand_score=0.83
탈리스만 9년 포르투기즈 캐스크,25980,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 320초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '탈리스만9년포르투기즈캐스크에디션700'→탈리스만 9년 포르투기즈 캐스크; id=w088; brand_score=1.0
탈리스커 10년,69800,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 332초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '탈리스커10년700mI'→탈리스커 10년; id=w032; brand_score=1.0
글렌글라사 포트소이 700ml,109800,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 398초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '글랜글라사포트소이 700m'→글렌글라사 포트소이; id=w030; brand_score=0.73
달모어 2005 빈티지 700ml,678000,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 429초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '달모어2005빈티지700m'→달모어 2005 빈티지; id=w024; brand_score=0.83
로얄 살루트 21년 700ml,179800,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 433초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '로알살루트 21년그레인 700m'→로얄 살루트 21년; id=w059; brand_score=0.8
발렌타인 싱글몰트 글렌버기 16년,169800,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 440초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '발렌타인싱글몰트글렌버기16년스몰배치'→발렌타인 싱글몰트 글렌버기 16년; id=w092; brand_score=1.0
조니워커 블루라벨 750ml,259800,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 451초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '조니워커불루라벨 750m'→조니워커 블루라벨; id=w053; brand_score=0.7
조니워커 블루라벨,259800,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 452초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '조니워커불루라벨 75Om'→조니워커 블루라벨; id=w053; brand_score=0.7
탐두 15년 700ml,169800,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 459초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '탐두15년700ml'→탐두 15년; id=w016; brand_score=1.0
포 로지스 스몰배치 셀렉트 750ml,116800,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 464초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '포로지스스몰배치셀렉트 750m'→포 로지스 스몰배치 셀렉트; id=w079; brand_score=0.85
1792 스몰배치 750ml,39980,트레이더스,동탄점,2026-06-09,유튜브 @whiskeykey / GTnHWxwFsTc @ 31초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '1792스몰배치750ml'→1792 스몰배치; id=w070; brand_score=1.0
글렌글라사 샌드엔드 700ml,99800,트레이더스,동탄점,2026-06-09,유튜브 @whiskeykey / GTnHWxwFsTc @ 41초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '글랜글라사샌드엔드700m'→글렌글라사 샌드엔드; id=w029; brand_score=0.73
글렌그란트 12년 700ml,59400,트레이더스,동탄점,2026-06-09,유튜브 @whiskeykey / GTnHWxwFsTc @ 47초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '더글렌그란트12년700m'→글렌그란트 12년; id=w013; brand_score=0.91
글렌킨치 12년 700ml,59800,트레이더스,동탄점,2026-06-09,유튜브 @whiskeykey / GTnHWxwFsTc @ 74초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '글렌킨치12년700ml'→글렌킨치 12년; id=w038; brand_score=1.0
글렌피딕 12년 700ml,69800,트레이더스,동탄점,2026-06-09,유튜브 @whiskeykey / GTnHWxwFsTc @ 79초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '글렌피닉12년 700ml'→글렌피딕 12년; id=w005; brand_score=0.75
글렌피딕 14년 버번배럴 700ml,99800,트레이더스,동탄점,2026-06-09,유튜브 @whiskeykey / GTnHWxwFsTc @ 84초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '글렌피릭14년버번캐스크700m'→글렌피딕 14년 버번배럴; id=w006; brand_score=0.75
글렌피딕 15년 700ml,99800,트레이더스,동탄점,2026-06-09,유튜브 @whiskeykey / GTnHWxwFsTc @ 89초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '글렌피딕15년 700ml'→글렌피딕 15년; id=w007; brand_score=1.0
노마드 아웃랜드 셰리 피니시 700ml,49980,트레이더스,동탄점,2026-06-09,유튜브 @whiskeykey / GTnHWxwFsTc @ 97초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '노마드 아웃랜드세리피니시700m'→노마드 아웃랜드 셰리 피니시; id=w060; brand_score=0.79
달모어 12년 700ml,99800,트레이더스,동탄점,2026-06-09,유튜브 @whiskeykey / GTnHWxwFsTc @ 103초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '달모어12년 700ml'→달모어 12년; id=w023; brand_score=1.0
듀어스 15년,59400,트레이더스,동탄점,2026-06-09,유튜브 @whiskeykey / GTnHWxwFsTc @ 109초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '듀어스 15년파인오크스페셜 리저브 700nm'→듀어스 15년; id=w056; brand_score=1.0
라가불린 11년 오퍼맨 스위트피트 700ml,89800,트레이더스,동탄점,2026-06-09,유튜브 @whiskeykey / GTnHWxwFsTc @ 115초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '라가불린11년스윗피트700m'→라가불린 11년 오퍼맨 스위트피트; id=w036; brand_score=1.0
메이커스 마크 1L,49980,트레이더스,동탄점,2026-06-09,유튜브 @whiskeykey / GTnHWxwFsTc @ 128초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '메이커스마크1L'→메이커스 마크; id=w071; brand_score=1.0
몽키숄더 700ml,49980,트레이더스,동탄점,2026-06-09,유튜브 @whiskeykey / GTnHWxwFsTc @ 133초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '몽키슬더700ml'→몽키숄더; id=w041; brand_score=0.75
발렌타인 10년 700ml,31980,트레이더스,동탄점,2026-06-09,유튜브 @whiskeykey / GTnHWxwFsTc @ 138초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '발렌타인 10년700m'→발렌타인 10년; id=w044; brand_score=1.0
발렌타인 17년 700ml,149800,트레이더스,동탄점,2026-06-09,유튜브 @whiskeykey / GTnHWxwFsTc @ 143초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '발렌타인 17년 말본 리미티드에디션700m'→발렌타인 17년; id=w090; brand_score=1.0
발베니 12년 더블우드 700ml,96800,트레이더스,동탄점,2026-06-09,유튜브 @whiskeykey / GTnHWxwFsTc @ 151초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '발베니12년700ml'→발베니 12년 더블우드; id=w008; brand_score=1.0
뱅크홀 싱글몰트 700ml,29940,트레이더스,동탄점,2026-06-09,유튜브 @whiskeykey / GTnHWxwFsTc @ 157초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '뱅크홀싱글몰트위스키700ml'→뱅크홀 싱글몰트; id=w040; brand_score=0.82
버팔로 트레이스 1L,49980,트레이더스,동탄점,2026-06-09,유튜브 @whiskeykey / GTnHWxwFsTc @ 163초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '버팔로트레이스1L'→버팔로 트레이스; id=w069; brand_score=1.0
부쉬밀 15년 싱글몰트 700ml,99800,트레이더스,동탄점,2026-06-09,유튜브 @whiskeykey / GTnHWxwFsTc @ 169초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '부쉬밀15년싱글몰트700ml'→부쉬밀 15년 싱글몰트; id=w062; brand_score=1.0
아란 셰리 캐스크 700ml,99800,트레이더스,동탄점,2026-06-09,유튜브 @whiskeykey / GTnHWxwFsTc @ 183초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '아란쉐리캐스크700m'→아란 셰리 캐스크; id=w031; brand_score=0.67
에반 윌리엄스 블랙 1L,29980,트레이더스,동탄점,2026-06-09,유튜브 @whiskeykey / GTnHWxwFsTc @ 192초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '에반 월리엄스 블랙 1L'→에반 윌리엄스 블랙; id=w080; brand_score=0.88
와일드터키 레어브리드 750ml,79800,트레이더스,동탄점,2026-06-09,유튜브 @whiskeykey / GTnHWxwFsTc @ 205초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '오의드터키레어브리드750m'→와일드터키 레어브리드; id=w074; brand_score=0.67
와일드터키 켄터키 스피릿 싱글배럴,69400,트레이더스,동탄점,2026-06-09,유튜브 @whiskeykey / GTnHWxwFsTc @ 211초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '와일드터키킨터키스피릿싱글배럴7'→와일드터키 켄터키 스피릿 싱글배럴; id=w075; brand_score=0.9
이글 레어 10년 750ml,69800,트레이더스,동탄점,2026-06-09,유튜브 @whiskeykey / GTnHWxwFsTc @ 215초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '이글레어10년750mI'→이글 레어 10년; id=w076; brand_score=1.0
제임슨 700ml,27980,트레이더스,동탄점,2026-06-09,유튜브 @whiskeykey / GTnHWxwFsTc @ 241초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '제임슨 스탠다드 700m'→제임슨; id=w061; brand_score=alias_exact
조니워커 그린라벨 15년 700ml,69800,트레이더스,동탄점,2026-06-09,유튜브 @whiskeykey / GTnHWxwFsTc @ 247초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '조니워커그린라벨700ml'→조니워커 그린라벨 15년; id=w042; brand_score=alias_exact
조니워커 레드라벨 1750ml,49940,트레이더스,동탄점,2026-06-09,유튜브 @whiskeykey / GTnHWxwFsTc @ 252초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '조니워커레드1.75L'→조니워커 레드라벨; id=w049; brand_score=0.86
조니워커 블랙 루비 700ml,54800,트레이더스,동탄점,2026-06-09,유튜브 @whiskeykey / GTnHWxwFsTc @ 261초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '조니워커블랙 루비700m'→조니워커 블랙 루비; id=w052; brand_score=0.8
조니워커 블랙라벨 12년 700ml,44980,트레이더스,동탄점,2026-06-09,유튜브 @whiskeykey / GTnHWxwFsTc @ 265초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '조니워커블랙라벨700m'→조니워커 블랙라벨 12년; id=w050; brand_score=alias_exact
조니워커 블루라벨 750ml,259800,트레이더스,동탄점,2026-06-09,유튜브 @whiskeykey / GTnHWxwFsTc @ 269초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '조니워커블루라벨750ml'→조니워커 블루라벨; id=w053; brand_score=1.0
짐빔 화이트 750ml,19980,트레이더스,동탄점,2026-06-09,유튜브 @whiskeykey / GTnHWxwFsTc @ 277초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '짐빔화이트750ml'→짐빔 화이트; id=w065; brand_score=1.0
카발란 디스틸러리 셀렉트 700ml,69800,트레이더스,동탄점,2026-06-09,유튜브 @whiskeykey / GTnHWxwFsTc @ 283초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '카발란디스틸러리셀렉트싱글몰트700m'→카발란 디스틸러리 셀렉트; id=w084; brand_score=0.73
칼라일 1500ml,23980,트레이더스,동탄점,2026-06-09,유튜브 @whiskeykey / GTnHWxwFsTc @ 289초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '칼라일블렌디드스카치위스키1.5L'→칼라일; id=w130; brand_score=alias0.92
탈리스커 10년 700ml,69800,트레이더스,동탄점,2026-06-09,유튜브 @whiskeykey / GTnHWxwFsTc @ 312초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '탈리스커10년700ml'→탈리스커 10년; id=w032; brand_score=1.0
탈리스커 와일드 블루,69400,트레이더스,동탄점,2026-06-09,유튜브 @whiskeykey / GTnHWxwFsTc @ 319초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '탈리스커와일드블루700mI'→탈리스커 와일드 블루; id=w089; brand_score=0.78
글렌리벳 17년 스몰배치,229800,트레이더스,동탄점,2026-06-09,유튜브 @whiskeykey / GTnHWxwFsTc @ 403초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '더글렌리벳17년스몰배치2700m'→글렌리벳 17년 스몰배치; id=w003; brand_score=0.89
달모어 2005 빈티지 700ml,678000,트레이더스,동탄점,2026-06-09,유튜브 @whiskeykey / GTnHWxwFsTc @ 414초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '달모어2005빈티지 700m'→달모어 2005 빈티지; id=w024; brand_score=0.83
발렌타인 싱글몰트 글렌버기 16년,169800,트레이더스,동탄점,2026-06-09,유튜브 @whiskeykey / GTnHWxwFsTc @ 427초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '빌렌타인싱글몰트글렌버기16년스몰바치'→발렌타인 싱글몰트 글렌버기 16년; id=w092; brand_score=0.92
발베니 12년 더블우드 750ml,119800,트레이더스,동탄점,2026-06-09,유튜브 @whiskeykey / GTnHWxwFsTc @ 432초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '발베니12년싱글배럴750ml'→발베니 12년 더블우드; id=w008; brand_score=1.0
탐두 15년 700ml,169800,트레이더스,동탄점,2026-06-09,유튜브 @whiskeykey / GTnHWxwFsTc @ 443초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '탐두15년700ml'→탐두 15년; id=w016; brand_score=1.0
포 로지스 스몰배치 셀렉트 750ml,116800,트레이더스,동탄점,2026-06-09,유튜브 @whiskeykey / GTnHWxwFsTc @ 451초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '포로지스스몰배치셀렉트 750m'→포 로지스 스몰배치 셀렉트; id=w079; brand_score=0.85
글렌피딕 14년 버번배럴,99800,트레이더스,구월점,2026-06-08,유튜브 @whiskeypick / k3GQq_-rD1k @ 83초 (프레임OCR · 트레이더스 구월점),중,프레임OCR 보정 '글랜피티 14년 버번 캐스크 700m'→글렌피딕 14년 버번배럴; id=w006; brand_score=1.0; CMPA-491 격리재심사 복구
제임슨,27980,트레이더스,구월점,2026-06-08,유튜브 @whiskeypick / k3GQq_-rD1k @ 275초 (프레임OCR · 트레이더스 구월점),중,프레임OCR 보정 '재임슨 스랜다드 700m'→제임슨; id=w061; brand_score=alias0.86; CMPA-491 격리재심사 복구
로얄 살루트 21년,225000,우성마트,우성 그린 마트,2026-06-13,유튜브 @whiskeypick / I8pxUTDSqiw @ 225초 (프레임OCR · 우성 그린 마트),중,프레임OCR 보정 '토알살루트21년몰트'→로얄 살루트 21년; id=w059; brand_score=1.0; CMPA-491 격리재심사 복구
몰트락 20년,575000,우성마트,우성 그린 마트,2026-06-13,유튜브 @whiskeypick / I8pxUTDSqiw @ 259초 (프레임OCR · 우성 그린 마트),중,프레임OCR 보정 '몰트락20년'→몰트락 20년; id=w178; brand_score=1.0; CMPA-491 격리재심사 복구
탐나불린 셰리캐스크,39800,우성마트,우성 그린 마트,2026-06-13,유튜브 @whiskeypick / I8pxUTDSqiw @ 620초 (프레임OCR · 우성 그린 마트),중,프레임OCR 보정 '탐나불린쉐리캐스크'→탐나불린 셰리캐스크; id=w163; brand_score=0.89; CMPA-491 격리재심사 복구
벤로막 15년,159800,우성마트,우성 그린 마트,2026-06-13,유튜브 @whiskeypick / I8pxUTDSqiw @ 711초 (프레임OCR · 우성 그린 마트),중,프레임OCR 보정 '벤로막 15년'→벤로막 15년; id=w177; brand_score=1.0; CMPA-491 격리재심사 복구
보모어 18년,169800,우성마트,우성 그린 마트,2026-06-13,유튜브 @whiskeypick / I8pxUTDSqiw @ 1042초 (프레임OCR · 우성 그린 마트),중,프레임OCR 보정 '보모어18년(구행)'→보모어 18년; id=w176; brand_score=1.0; CMPA-491 격리재심사 복구
글렌모렌지 12년 700ml,79900,코스트코,,2026-06-01,유튜브 @whiskeykey / AHC6A7ukkrM @ 14초 (프레임OCR),중,프레임OCR 보정 '글렌모렌지 디오리지널12년'→글렌모렌지 12년; id=w020; brand_score=0.67
발베니 12년 아메리칸 오크 700ml,115900,코스트코,,2026-06-01,유튜브 @whiskeykey / AHC6A7ukkrM @ 72초 (프레임OCR),중,프레임OCR 보정 '발베니 12녀아메리칸오크'→발베니 12년 아메리칸 오크; id=w284; brand_score=alias_exact
카발란 솔리스트 700ml,279000,코스트코,,2026-06-01,유튜브 @whiskeykey / AHC6A7ukkrM @ 156초 (프레임OCR),중,프레임OCR 보정 '솔리스트비노바리끄'→카발란 솔리스트; id=w161; brand_score=alias_exact
글렌모렌지 12년 700ml,79900,코스트코,공세점,2026-06-09,유튜브 @whiskeykey / tBvB1B87FZk @ 18초 (프레임OCR · 코스트코 공세점),중,프레임OCR 보정 '글렌모렌지 디오리지널12년'→글렌모렌지 12년; id=w020; brand_score=0.67
로얄 브라클라 12년 700ml,103900,코스트코,공세점,2026-06-09,유튜브 @whiskeykey / tBvB1B87FZk @ 34초 (프레임OCR · 코스트코 공세점),중,프레임OCR 보정 '로일브라클라 12년'→로얄 브라클라 12년; id=w026; brand_score=0.83
메이커스 마크 750ml,36990,코스트코,공세점,2026-06-09,유튜브 @whiskeykey / tBvB1B87FZk @ 53초 (프레임OCR · 코스트코 공세점),중,프레임OCR 보정 '메이커스마크 버번 위스키'→메이커스 마크; id=w071; brand_score=0.71
몽키숄더 700ml,49790,코스트코,공세점,2026-06-09,유튜브 @whiskeykey / tBvB1B87FZk @ 61초 (프레임OCR · 코스트코 공세점),중,프레임OCR 보정 '몽키슬더'→몽키숄더; id=w041; brand_score=0.75
발베니 12년 아메리칸 오크,115900,코스트코,공세점,2026-06-09,유튜브 @whiskeykey / tBvB1B87FZk @ 78초 (프레임OCR · 코스트코 공세점),중,프레임OCR 보정 '발베니 12년아메리칸오크'→발베니 12년 아메리칸 오크; id=w284; brand_score=1.0
글렌피딕 15년 700ml,99800,트레이더스,,2026-06-22,유튜브 @whiskeypick / 7g3YR_98FLY @ 20초 (프레임OCR),중,프레임OCR 보정 '글렌피릭15년700ml'→글렌피딕 15년; id=w007; brand_score=0.75
글렌글라사 포트소이 700ml,89800,트레이더스,,2026-06-22,유튜브 @whiskeypick / 7g3YR_98FLY @ 36초 (프레임OCR),중,프레임OCR 보정 '글산글라사 포트스이700m'→글렌글라사 포트소이; id=w030; brand_score=0.64
글렌드로낙 12년,99800,트레이더스,,2026-06-22,유튜브 @whiskeypick / 7g3YR_98FLY @ 41초 (프레임OCR),중,프레임OCR 보정 '더글렌드로낙 을로로쓰 12년11 트레이디스는 성성카드'→글렌드로낙 12년; id=w018; brand_score=0.67
와일드터키 레어브리드 750ml,79800,트레이더스,,2026-06-22,유튜브 @whiskeypick / 7g3YR_98FLY @ 91초 (프레임OCR),중,프레임OCR 보정 '와일드터키레어브리드750ml'→와일드터키 레어브리드; id=w074; brand_score=1.0
이글 레어 10년 750ml,74800,트레이더스,,2026-06-22,유튜브 @whiskeypick / 7g3YR_98FLY @ 96초 (프레임OCR),중,프레임OCR 보정 '이글레어10년 750ml'→이글 레어 10년; id=w076; brand_score=1.0
부쉬밀 15년 싱글몰트 700ml,99800,트레이더스,,2026-06-22,유튜브 @whiskeypick / 7g3YR_98FLY @ 108초 (프레임OCR),중,프레임OCR 보정 '부쉬일 15년싱글을트700ml'→부쉬밀 15년 싱글몰트; id=w062; brand_score=0.67
글렌피딕 12년 700ml,69800,트레이더스,,2026-06-22,유튜브 @whiskeypick / 7g3YR_98FLY @ 127초 (프레임OCR),중,프레임OCR 보정 '글랜피닥12년700ml'→글렌피딕 12년; id=w005; brand_score=alias0.86
버팔로 트레이스 1L,49980,트레이더스,,2026-06-22,유튜브 @whiskeypick / 7g3YR_98FLY @ 143초 (프레임OCR),중,프레임OCR 보정 '버탈로트레이스1L'→버팔로 트레이스; id=w069; brand_score=0.86
듀어스 15년 700ml,59400,트레이더스,,2026-06-22,유튜브 @whiskeypick / 7g3YR_98FLY @ 149초 (프레임OCR),중,프레임OCR 보정 '듀어스 15년 파인오크스페널 리저브 700m'→듀어스 15년; id=w056; brand_score=1.0
조니워커 레드라벨 700ml,49940,트레이더스,,2026-06-22,유튜브 @whiskeypick / 7g3YR_98FLY @ 168초 (프레임OCR),중,프레임OCR 보정 '조니워커레드1.75'→조니워커 레드라벨; id=w049; brand_score=0.71
골든블루 사피루스,28980,트레이더스,,2026-06-22,유튜브 @whiskeypick / 7g3YR_98FLY @ 229초 (프레임OCR),중,프레임OCR 보정 '골든플루사피루스 450mi'→골든블루 사피루스; id=w064; brand_score=0.67
