술이름,가격_KRW,위치,지점,가져온날짜,출처,신뢰도,비고
글렌알라키 10년 루비 포트 700ml,89800,트레이더스,,2026-04-20,유튜브 @whiskeykey / KoaUsHp5By8 @ 68초 (프레임OCR),중,프레임OCR 보정 '글렌알라키 10년 루비포트 700ml(유러피언 신상품'→글렌알라키 10년 루비 포트; id=w096; brand_score=1.0
글렌피딕 14년 버번배럴 700ml,99800,트레이더스,,2026-04-20,유튜브 @whiskeykey / KoaUsHp5By8 @ 80초 (프레임OCR),중,프레임OCR 보정 '글렌피릭14년 버번 캐스크 700ml 신상품'→글렌피딕 14년 버번배럴; id=w006; brand_score=0.75
듀어스 12년 700ml,45980,트레이더스,,2026-04-20,유튜브 @whiskeykey / KoaUsHp5By8 @ 86초 (프레임OCR),중,프레임OCR 보정 '듀어스 12년 퍼스트필버번캐스크 700m 12년의새문버전'→듀어스 12년; id=w055; brand_score=1.0
듀어스 15년 700ml,59400,트레이더스,,2026-04-20,유튜브 @whiskeykey / KoaUsHp5By8 @ 92초 (프레임OCR),중,프레임OCR 보정 '듀어스 15년파인오크스페설리저브700m 100mi당 8.486원'→듀어스 15년; id=w056; brand_score=1.0
라가불린 11년 오퍼맨 스위트피트 700ml,89800,트레이더스,,2026-04-20,유튜브 @whiskeykey / KoaUsHp5By8 @ 98초 (프레임OCR),중,프레임OCR 보정 '라가불린11년 스윗피트 700m 신상품'→라가불린 11년 오퍼맨 스위트피트; id=w036; brand_score=1.0
로얄 브라클라 12년,89801,트레이더스,,2026-04-20,유튜브 @whiskeykey / KoaUsHp5By8 @ 110초 (프레임OCR),중,프레임OCR 보정 '브라클라12년700mi'→로얄 브라클라 12년; id=w026; brand_score=0.8
맥캘란 12년 더블캐스크 700ml,99800,트레이더스,,2026-04-20,유튜브 @whiskeykey / KoaUsHp5By8 @ 116초 (프레임OCR),중,프레임OCR 보정 '맥캘란12년더들개스크700m'→맥캘란 12년 더블캐스크; id=w012; brand_score=1.0
발렌타인 10년 700ml,39980,트레이더스,,2026-04-20,유튜브 @whiskeykey / KoaUsHp5By8 @ 129초 (프레임OCR),중,프레임OCR 보정 '발렌타인10년700m 100m1당5.7119'→발렌타인 10년; id=w044; brand_score=1.0
발렌타인 파이니스트 1L,28980,트레이더스,,2026-04-20,유튜브 @whiskeykey / KoaUsHp5By8 @ 140초 (프레임OCR),중,프레임OCR 보정 '발렌타인 파이니스트 1L'→발렌타인 파이니스트; id=w043; brand_score=1.0
발베니 12년 더블우드 700ml,96800,트레이더스,,2026-04-20,유튜브 @whiskeykey / KoaUsHp5By8 @ 146초 (프레임OCR),중,프레임OCR 보정 '발베니 12년 700m'→발베니 12년 더블우드; id=w008; brand_score=alias_exact
발베니 14년 캐리비안 캐스크 700ml,139800,트레이더스,,2026-04-20,유튜브 @whiskeykey / KoaUsHp5By8 @ 152초 (프레임OCR),중,프레임OCR 보정 '발베니14년캐리비아캐스크700m 100mI당 1e 971원'→발베니 14년 캐리비안 캐스크; id=w009; brand_score=1.0
뱅크홀 싱글몰트 700ml,37980,트레이더스,,2026-04-20,유튜브 @whiskeykey / KoaUsHp5By8 @ 158초 (프레임OCR),중,프레임OCR 보정 '뱅크홀싱글몰트위스키700m'→뱅크홀 싱글몰트; id=w040; brand_score=0.67
버팔로 트레이스 1L,49980,트레이더스,,2026-04-20,유튜브 @whiskeykey / KoaUsHp5By8 @ 164초 (프레임OCR),중,프레임OCR 보정 '버팔로 트레이스 1L'→버팔로 트레이스; id=w069; brand_score=1.0
아란 셰리 캐스크 700ml,99800,트레이더스,,2026-04-20,유튜브 @whiskeykey / KoaUsHp5By8 @ 176초 (프레임OCR),중,프레임OCR 보정 '아란쉐리캐스크700m'→아란 셰리 캐스크; id=w031; brand_score=0.67
에반 윌리엄스 12년 750ml,99800,트레이더스,,2026-04-20,유튜브 @whiskeykey / KoaUsHp5By8 @ 182초 (프레임OCR),중,"프레임OCR 보정 '에반월리엄스 12년 750m 100m당 13,3079'→에반 윌리엄스 12년; id=w081; brand_score=0.83"
에반 윌리엄스 BIB 1L,35980,트레이더스,,2026-04-20,유튜브 @whiskeykey / KoaUsHp5By8 @ 188초 (프레임OCR),중,프레임OCR 보정 '에반 월리엄스 BIB 12주년 에디션 50도 1L'→에반 윌리엄스 BIB; id=w111; brand_score=alias0.95
에반 윌리엄스 블랙 1750ml,47980,트레이더스,,2026-04-20,유튜브 @whiskeykey / KoaUsHp5By8 @ 200초 (프레임OCR),중,프레임OCR 보정 '에반 월리엄스 블랙 1.75L'→에반 윌리엄스 블랙; id=w080; brand_score=0.88
오반 14년 700ml,89400,트레이더스,,2026-04-20,유튜브 @whiskeykey / KoaUsHp5By8 @ 206초 (프레임OCR),중,프레임OCR 보정 '오반14년700ml 100m1당 12.771원'→오반 14년; id=w019; brand_score=1.0
와일드터키 8년 1L,49980,트레이더스,,2026-04-20,유튜브 @whiskeykey / KoaUsHp5By8 @ 212초 (프레임OCR),중,프레임OCR 보정 '와일드터키 8년 1L'→와일드터키 8년; id=w073; brand_score=1.0
이글 레어 10년 750ml,74800,트레이더스,,2026-04-20,유튜브 @whiskeykey / KoaUsHp5By8 @ 230초 (프레임OCR),중,프레임OCR 보정 '이글레어10년 750m 100m1당 9.973원'→이글 레어 10년; id=w076; brand_score=1.0
제임슨 700ml,27980,트레이더스,,2026-04-20,유튜브 @whiskeykey / KoaUsHp5By8 @ 251초 (프레임OCR),중,프레임OCR 보정 '제임슨 스텐다드 700m'→제임슨; id=w061; brand_score=alias0.86
조니워커 더블블랙 1L,59800,트레이더스,,2026-04-20,유튜브 @whiskeykey / KoaUsHp5By8 @ 260초 (프레임OCR),중,프레임OCR 보정 '조니워커 더블블랙1L'→조니워커 더블블랙; id=w051; brand_score=1.0
조니워커 블랙라벨 12년 700ml,39980,트레이더스,,2026-04-20,유튜브 @whiskeykey / KoaUsHp5By8 @ 284초 (프레임OCR),중,프레임OCR 보정 '조니워커블랙라벨700m'→조니워커 블랙라벨 12년; id=w050; brand_score=alias_exact
커티삭 프로히비션 1L,39940,트레이더스,,2026-04-20,유튜브 @whiskeykey / KoaUsHp5By8 @ 308초 (프레임OCR),중,프레임OCR 보정 '커티삭 프로히비션 1L'→커티삭 프로히비션; id=w058; brand_score=1.0
탈리스만 9년 포르투기즈 캐스크 700ml,25980,트레이더스,,2026-04-20,유튜브 @whiskeykey / KoaUsHp5By8 @ 314초 (프레임OCR),중,프레임OCR 보정 '탈리스만9년포르투기즈캐스크에디션700 100m1당 3.7119'→탈리스만 9년 포르투기즈 캐스크; id=w088; brand_score=1.0
탈리스커 10년 700ml,69800,트레이더스,,2026-04-20,유튜브 @whiskeykey / KoaUsHp5By8 @ 326초 (프레임OCR),중,프레임OCR 보정 '탈리스커10년700ml'→탈리스커 10년; id=w032; brand_score=1.0
탈리스커 와일드 블루 700ml,84800,트레이더스,,2026-04-20,유튜브 @whiskeykey / KoaUsHp5By8 @ 332초 (프레임OCR),중,프레임OCR 보정 '탈리스커와일드블루700m'→탈리스커 와일드 블루; id=w089; brand_score=0.82
달모어 2005 빈티지 700ml,678000,트레이더스,,2026-04-20,유튜브 @whiskeykey / KoaUsHp5By8 @ 410초 (프레임OCR),중,프레임OCR 보정 '달모어2005빈티지700m'→달모어 2005 빈티지; id=w024; brand_score=0.83
듀어스 18년 750ml,109800,트레이더스,,2026-04-20,유튜브 @whiskeykey / KoaUsHp5By8 @ 416초 (프레임OCR),중,프레임OCR 보정 '듀어스18년750ml'→듀어스 18년; id=w057; brand_score=1.0
발렌타인 21년 700ml,224800,트레이더스,,2026-04-20,유튜브 @whiskeykey / KoaUsHp5By8 @ 428초 (프레임OCR),중,프레임OCR 보정 '발렌타인21년700ml'→발렌타인 21년; id=w047; brand_score=1.0
조니워커 블루라벨 500ml,189800,트레이더스,,2026-04-20,유튜브 @whiskeykey / KoaUsHp5By8 @ 440초 (프레임OCR),중,프레임OCR 보정 '조니워커블루라벨 500m'→조니워커 블루라벨; id=w053; brand_score=0.8
조니워커 블루라벨,259800,트레이더스,,2026-04-20,유튜브 @whiskeykey / KoaUsHp5By8 @ 446초 (프레임OCR),중,프레임OCR 보정 '조니워커블루라벨 75Om'→조니워커 블루라벨; id=w053; brand_score=0.8
1792 스몰배치 750ml,39980,트레이더스,,2026-04-13,유튜브 @whiskeykey / -D-Ix2Uw31o @ 39초 (프레임OCR),중,프레임OCR 보정 '1792스몰배치 750m'→1792 스몰배치; id=w070; brand_score=0.8
골든블루 다이아몬드,44980,트레이더스,,2026-04-13,유튜브 @whiskeykey / -D-Ix2Uw31o @ 45초 (프레임OCR),중,프레임OCR 보정 '골든블루 다이아몬드 450m'→골든블루 다이아몬드; id=w063; brand_score=0.82
골든블루 사피루스,28980,트레이더스,,2026-04-13,유튜브 @whiskeykey / -D-Ix2Uw31o @ 51초 (프레임OCR),중,프레임OCR 보정 '골든블루 사피루스 450m'→골든블루 사피루스; id=w064; brand_score=0.8
글렌그란트 12년 700ml,69800,트레이더스,,2026-04-13,유튜브 @whiskeykey / -D-Ix2Uw31o @ 58초 (프레임OCR),중,프레임OCR 보정 '더글렌그란트 12년 700m 100m1당9.971원'→글렌그란트 12년; id=w013; brand_score=0.91
글렌그란트 15년 700ml,97800,트레이더스,,2026-04-13,유튜브 @whiskeykey / -D-Ix2Uw31o @ 63초 (프레임OCR),중,"프레임OCR 보정 '더글렌그란트15년700m 100mI당 13,971'→글렌그란트 15년; id=w014; brand_score=0.91"
글렌드로낙 12년 700ml,79800,트레이더스,,2026-04-13,유튜브 @whiskeykey / -D-Ix2Uw31o @ 75초 (프레임OCR),중,프레임OCR 보정 '더글렌드로낙12년700m'→글렌드로낙 12년; id=w018; brand_score=0.91
글렌피딕 14년 버번배럴 700ml,99800,트레이더스,,2026-04-13,유튜브 @whiskeykey / -D-Ix2Uw31o @ 99초 (프레임OCR),중,프레임OCR 보정 '글렌피릭14년버번캐스크700m'→글렌피딕 14년 버번배럴; id=w006; brand_score=0.75
듀어스 12년 700ml,45980,트레이더스,,2026-04-13,유튜브 @whiskeykey / -D-Ix2Uw31o @ 105초 (프레임OCR),중,프레임OCR 보정 '듀어스12년퍼스트필버번캐스크700m 100m1당6.569원'→듀어스 12년; id=w055; brand_score=1.0
듀어스 15년,59400,트레이더스,,2026-04-13,유튜브 @whiskeykey / -D-Ix2Uw31o @ 111초 (프레임OCR),중,프레임OCR 보정 '듀어스15년파인 오크스페셜리저브 700n -2024년까지 6년 연속 세계 1위 마스터 불벤다름 수심한 스대파니'→듀어스 15년; id=w056; brand_score=1.0
라가불린 11년 오퍼맨 스위트피트 700ml,89800,트레이더스,,2026-04-13,유튜브 @whiskeykey / -D-Ix2Uw31o @ 117초 (프레임OCR),중,프레임OCR 보정 '라가불린 11년 스윗피트 700m 신상품'→라가불린 11년 오퍼맨 스위트피트; id=w036; brand_score=1.0
러셀스 리저브 싱글배럴 750ml,99800,트레이더스,,2026-04-13,유튜브 @whiskeykey / -D-Ix2Uw31o @ 123초 (프레임OCR),중,프레임OCR 보정 '러셀리저브싱글배럴750m'→러셀스 리저브 싱글배럴; id=w077; brand_score=0.78
로얄 브라클라 12년 700ml,89800,트레이더스,,2026-04-13,유튜브 @whiskeykey / -D-Ix2Uw31o @ 129초 (프레임OCR),중,프레임OCR 보정 '로얄 브라클라12년 700mI'→로얄 브라클라 12년; id=w026; brand_score=1.0
맥캘란 12년 더블캐스크 700ml,99800,트레이더스,,2026-04-13,유튜브 @whiskeykey / -D-Ix2Uw31o @ 135초 (프레임OCR),중,프레임OCR 보정 '맥캔란12년 더블캐스크700m 100m1당14.257원'→맥캘란 12년 더블캐스크; id=w012; brand_score=0.67
발렌타인 10년 700ml,39980,트레이더스,,2026-04-13,유튜브 @whiskeykey / -D-Ix2Uw31o @ 147초 (프레임OCR),중,프레임OCR 보정 '발렌타인10년700m'→발렌타인 10년; id=w044; brand_score=1.0
발렌타인 파이니스트 1L,28980,트레이더스,,2026-04-13,유튜브 @whiskeykey / -D-Ix2Uw31o @ 159초 (프레임OCR),중,프레임OCR 보정 '발렌타인 파이니스트1L'→발렌타인 파이니스트; id=w043; brand_score=1.0
버팔로 트레이스 1L,49980,트레이더스,,2026-04-13,유튜브 @whiskeykey / -D-Ix2Uw31o @ 183초 (프레임OCR),중,프레임OCR 보정 '버팔로트레이스1L'→버팔로 트레이스; id=w069; brand_score=1.0
아란 셰리 캐스크 700ml,99800,트레이더스,,2026-04-13,유튜브 @whiskeykey / -D-Ix2Uw31o @ 195초 (프레임OCR),중,프레임OCR 보정 '아란쉐리캐스크700m'→아란 셰리 캐스크; id=w031; brand_score=0.67
에반 윌리엄스 12년 750ml,99800,트레이더스,,2026-04-13,유튜브 @whiskeykey / -D-Ix2Uw31o @ 201초 (프레임OCR),중,프레임OCR 보정 '에반월리엄스 12년 750m'→에반 윌리엄스 12년; id=w081; brand_score=0.83
에반 윌리엄스 블랙 1750ml,47980,트레이더스,,2026-04-13,유튜브 @whiskeykey / -D-Ix2Uw31o @ 213초 (프레임OCR),중,프레임OCR 보정 '에반 윌리엄스 블랙 1.75L'→에반 윌리엄스 블랙; id=w080; brand_score=1.0
오반 14년 700ml,89400,트레이더스,,2026-04-13,유튜브 @whiskeykey / -D-Ix2Uw31o @ 219초 (프레임OCR),중,프레임OCR 보정 '오반14년700ml'→오반 14년; id=w019; brand_score=1.0
와일드터키 8년 1L,49980,트레이더스,,2026-04-13,유튜브 @whiskeykey / -D-Ix2Uw31o @ 225초 (프레임OCR),중,"프레임OCR 보정 '와일드터키8년 1L 100m당4,998일'→와일드터키 8년; id=w073; brand_score=1.0"
와일드터키 켄터키 스피릿 싱글배럴 750ml,69400,트레이더스,,2026-04-13,유튜브 @whiskeykey / -D-Ix2Uw31o @ 237초 (프레임OCR),중,프레임OCR 보정 '와일드터키캔터키스피릿싱글배럴750m 100m1당9.253원'→와일드터키 켄터키 스피릿 싱글배럴; id=w075; brand_score=0.62
이글 레어 10년 750ml,74800,트레이더스,,2026-04-13,유튜브 @whiskeykey / -D-Ix2Uw31o @ 243초 (프레임OCR),중,프레임OCR 보정 '이글레어10년 750m'→이글 레어 10년; id=w076; brand_score=1.0
조니워커 그린라벨 15년 700ml,74800,트레이더스,,2026-04-13,유튜브 @whiskeykey / -D-Ix2Uw31o @ 267초 (프레임OCR),중,프레임OCR 보정 '조니워커 그린라벨 700m'→조니워커 그린라벨 15년; id=w042; brand_score=alias_exact
조니워커 더블블랙 1L,59800,트레이더스,,2026-04-13,유튜브 @whiskeykey / -D-Ix2Uw31o @ 273초 (프레임OCR),중,프레임OCR 보정 '조니워커 더블블랙 1L 위스키'→조니워커 더블블랙; id=w051; brand_score=0.84
조니워커 레드라벨 1750ml,54800,트레이더스,,2026-04-13,유튜브 @whiskeykey / -D-Ix2Uw31o @ 279초 (프레임OCR),중,프레임OCR 보정 '조니워커 레드 1.75L'→조니워커 레드라벨; id=w049; brand_score=0.86
조니워커 블랙라벨 12년 700ml,39980,트레이더스,,2026-04-13,유튜브 @whiskeykey / -D-Ix2Uw31o @ 297초 (프레임OCR),중,프레임OCR 보정 '조니워커블랙라벨700m'→조니워커 블랙라벨 12년; id=w050; brand_score=alias_exact
탈리스만 9년 포르투기즈 캐스크,25980,트레이더스,,2026-04-13,유튜브 @whiskeykey / -D-Ix2Uw31o @ 333초 (프레임OCR),중,프레임OCR 보정 '탈리스만9년포르투기즈캐스크에디션 700 100m1당 3.711원'→탈리스만 9년 포르투기즈 캐스크; id=w088; brand_score=1.0
탈리스커 10년 700ml,69800,트레이더스,,2026-04-13,유튜브 @whiskeykey / -D-Ix2Uw31o @ 345초 (프레임OCR),중,프레임OCR 보정 '탈리스커10년700ml 100m1당9.971원'→탈리스커 10년; id=w032; brand_score=1.0
탈리스커 와일드 블루 700ml,74800,트레이더스,,2026-04-13,유튜브 @whiskeykey / -D-Ix2Uw31o @ 351초 (프레임OCR),중,프레임OCR 보정 '탈리스커와일드블루700ml'→탈리스커 와일드 블루; id=w089; brand_score=1.0
달모어 2005 빈티지 700ml,678000,트레이더스,,2026-04-13,유튜브 @whiskeykey / -D-Ix2Uw31o @ 429초 (프레임OCR),중,프레임OCR 보정 '달모어2005빈티지700m'→달모어 2005 빈티지; id=w024; brand_score=0.83
듀어스 18년 750ml,99800,트레이더스,,2026-04-13,유튜브 @whiskeykey / -D-Ix2Uw31o @ 435초 (프레임OCR),중,프레임OCR 보정 '듀어스 18년 750ml'→듀어스 18년; id=w057; brand_score=1.0
발렌타인 21년 700ml,224800,트레이더스,,2026-04-13,유튜브 @whiskeykey / -D-Ix2Uw31o @ 447초 (프레임OCR),중,프레임OCR 보정 '발렌타인21년700ml'→발렌타인 21년; id=w047; brand_score=1.0
조니워커 블루라벨 500ml,189800,트레이더스,,2026-04-13,유튜브 @whiskeykey / -D-Ix2Uw31o @ 465초 (프레임OCR),중,프레임OCR 보정 '조니워커블루라벨500m'→조니워커 블루라벨; id=w053; brand_score=0.8
조니워커 블루라벨 750ml,259800,트레이더스,,2026-04-13,유튜브 @whiskeykey / -D-Ix2Uw31o @ 471초 (프레임OCR),중,프레임OCR 보정 '조니워커블루라벨 750m'→조니워커 블루라벨; id=w053; brand_score=0.8
포 로지스 스몰배치 셀렉트 750ml,116800,트레이더스,,2026-04-13,유튜브 @whiskeykey / -D-Ix2Uw31o @ 477초 (프레임OCR),중,프레임OCR 보정 '포로지스스몰배치셀렉트 750m'→포 로지스 스몰배치 셀렉트; id=w079; brand_score=0.85
