술이름,가격_KRW,위치,지점,가져온날짜,출처,신뢰도,비고
글렌피딕 14년 버번배럴,99800,트레이더스,,2026-05-11,유튜브 @whiskeykey / QeGCpiC3ewI @ 91초 (프레임OCR),중,프레임OCR 보정 '글렌피릭14년버번캐스크7C9mI'→글렌피딕 14년 버번배럴; id=w006; brand_score=0.75
노마드 아웃랜드 셰리 피니시,49980,트레이더스,,2026-05-11,유튜브 @whiskeykey / QeGCpiC3ewI @ 103초 (프레임OCR),중,프레임OCR 보정 '노마드 아웃랜드시리피니시7C3m'→노마드 아웃랜드 셰리 피니시; id=w060; brand_score=0.79
듀어스 12년 700ml,39980,트레이더스,,2026-05-11,유튜브 @whiskeykey / QeGCpiC3ewI @ 109초 (프레임OCR),중,프레임OCR 보정 '듀어스12년퍼스트필버번캐스크700m 12년의새운버전'→듀어스 12년; id=w055; brand_score=1.0
듀어스 15년 700ml,64800,트레이더스,,2026-05-11,유튜브 @whiskeykey / QeGCpiC3ewI @ 115초 (프레임OCR),중,프레임OCR 보정 '듀어스15년파인오크스페셜리저브700m -2024년까지 6년 연속 세제 1위 아스터 불련다를 수상한 스테파니'→듀어스 15년; id=w056; brand_score=1.0
라가불린 11년 오퍼맨 스위트피트 700ml,89800,트레이더스,,2026-05-11,유튜브 @whiskeykey / QeGCpiC3ewI @ 121초 (프레임OCR),중,프레임OCR 보정 '라가불린11년스윗피트700m'→라가불린 11년 오퍼맨 스위트피트; id=w036; brand_score=1.0
러셀스 리저브 싱글배럴 750ml,99800,트레이더스,,2026-05-11,유튜브 @whiskeykey / QeGCpiC3ewI @ 130초 (프레임OCR),중,프레임OCR 보정 '러셀리저브싱글배럴750m'→러셀스 리저브 싱글배럴; id=w077; brand_score=0.78
맥캘란 셰리 오크 12년 700ml,119800,트레이더스,,2026-05-11,유튜브 @whiskeykey / QeGCpiC3ewI @ 140초 (프레임OCR),중,프레임OCR 보정 '맥캘란 쉐리오크 12년 700m'→맥캘란 셰리 오크 12년; id=w104; brand_score=1.0
몽키숄더 700ml,49980,트레이더스,,2026-05-11,유튜브 @whiskeykey / QeGCpiC3ewI @ 145초 (프레임OCR),중,프레임OCR 보정 '몽키슬더700ml'→몽키숄더; id=w041; brand_score=0.75
발렌타인 10년 700ml,39980,트레이더스,,2026-05-11,유튜브 @whiskeykey / QeGCpiC3ewI @ 151초 (프레임OCR),중,프레임OCR 보정 '발렌타인10년 700m 100m1당 5.711원'→발렌타인 10년; id=w044; brand_score=1.0
발렌타인 싱글몰트 글렌버기 16년,169800,트레이더스,,2026-05-11,유튜브 @whiskeykey / QeGCpiC3ewI @ 163초 (프레임OCR),중,프레임OCR 보정 '발렌타인 싱글몰트 글렌버기16년 스몰배치 신상품'→발렌타인 싱글몰트 글렌버기 16년; id=w092; brand_score=0.96
발렌타인 파이니스트 1L,28980,트레이더스,,2026-05-11,유튜브 @whiskeykey / QeGCpiC3ewI @ 169초 (프레임OCR),중,프레임OCR 보정 '발렌타인 파이니스트1L'→발렌타인 파이니스트; id=w043; brand_score=1.0
발베니 12년 더블우드 700ml,96800,트레이더스,,2026-05-11,유튜브 @whiskeykey / QeGCpiC3ewI @ 175초 (프레임OCR),중,프레임OCR 보정 '발베니12년700m'→발베니 12년 더블우드; id=w008; brand_score=alias_exact
발베니 14년 캐리비안 캐스크,139800,트레이더스,,2026-05-11,유튜브 @whiskeykey / QeGCpiC3ewI @ 181초 (프레임OCR),중,프레임OCR 보정 '발베니14년캐리비안 캐스크700n'→발베니 14년 캐리비안 캐스크; id=w009; brand_score=1.0
버팔로 트레이스 1L,49980,트레이더스,,2026-05-11,유튜브 @whiskeykey / QeGCpiC3ewI @ 193초 (프레임OCR),중,프레임OCR 보정 '버팔로트레이스 1L'→버팔로 트레이스; id=w069; brand_score=1.0
산토리 가쿠빈 700ml,29980,트레이더스,,2026-05-11,유튜브 @whiskeykey / QeGCpiC3ewI @ 199초 (프레임OCR),중,프레임OCR 보정 '산토리가쿠빈700ml'→산토리 가쿠빈; id=w083; brand_score=1.0
에반 윌리엄스 12년 750ml,89800,트레이더스,,2026-05-11,유튜브 @whiskeykey / QeGCpiC3ewI @ 217초 (프레임OCR),중,프레임OCR 보정 '에반월리엄스12년750ml'→에반 윌리엄스 12년; id=w081; brand_score=0.83
에반 윌리엄스 BIB 1L,35980,트레이더스,,2026-05-11,유튜브 @whiskeykey / QeGCpiC3ewI @ 223초 (프레임OCR),중,프레임OCR 보정 '에반 월리엄스 BIB 12주년에디션50도 1L'→에반 윌리엄스 BIB; id=w111; brand_score=alias0.95
에버펠디 16년 700ml,75800,트레이더스,,2026-05-11,유튜브 @whiskeykey / QeGCpiC3ewI @ 241초 (프레임OCR),중,프레임OCR 보정 '에버펠디16년700m'→에버펠디 16년; id=w027; brand_score=1.0
와일드터키 켄터키 스피릿 싱글배럴 750ml,69400,트레이더스,,2026-05-11,유튜브 @whiskeykey / QeGCpiC3ewI @ 259초 (프레임OCR),중,"프레임OCR 보정 '와일드터키켄터키스피릿싱글배750m 100m1당9,253'→와일드터키 켄터키 스피릿 싱글배럴; id=w075; brand_score=0.65"
이글 레어 10년 750ml,69800,트레이더스,,2026-05-11,유튜브 @whiskeykey / QeGCpiC3ewI @ 266초 (프레임OCR),중,프레임OCR 보정 '이글레어10년750m'→이글 레어 10년; id=w076; brand_score=1.0
조니워커 더블블랙 1L,59800,트레이더스,,2026-05-11,유튜브 @whiskeykey / QeGCpiC3ewI @ 303초 (프레임OCR),중,프레임OCR 보정 '조니워커 더블블랙 1L'→조니워커 더블블랙; id=w051; brand_score=1.0
조니워커 레드라벨 1750ml,54800,트레이더스,,2026-05-11,유튜브 @whiskeykey / QeGCpiC3ewI @ 307초 (프레임OCR),중,프레임OCR 보정 '조니워커레드1.75L'→조니워커 레드라벨; id=w049; brand_score=0.86
조니워커 블랙라벨 12년 700ml,49980,트레이더스,,2026-05-11,유튜브 @whiskeykey / QeGCpiC3ewI @ 319초 (프레임OCR),중,프레임OCR 보정 '조니워커블랙라벨 700m'→조니워커 블랙라벨 12년; id=w050; brand_score=alias_exact
조니워커 블랙 루비 700ml,44800,트레이더스,,2026-05-11,유튜브 @whiskeykey / QeGCpiC3ewI @ 326초 (프레임OCR),중,프레임OCR 보정 '조니워커블랙루비700m'→조니워커 블랙 루비; id=w052; brand_score=0.8
탈리스만 9년 포르투기즈 캐스크,19980,트레이더스,,2026-05-11,유튜브 @whiskeykey / QeGCpiC3ewI @ 349초 (프레임OCR),중,프레임OCR 보정 '탈리스만 9년 포르투기즈 캐스크에디션700'→탈리스만 9년 포르투기즈 캐스크; id=w088; brand_score=1.0
탈리스커 10년 700ml,69800,트레이더스,,2026-05-11,유튜브 @whiskeykey / QeGCpiC3ewI @ 361초 (프레임OCR),중,프레임OCR 보정 '탈리스커10년 700ml'→탈리스커 10년; id=w032; brand_score=1.0
포 로지스 싱글배럴 750ml,59800,트레이더스,,2026-05-11,유튜브 @whiskeykey / QeGCpiC3ewI @ 373초 (프레임OCR),중,프레임OCR 보정 '포로지스싱글배럼750m'→포 로지스 싱글배럴; id=w078; brand_score=0.7
글렌그란트 익스플로레이션 No.1 700ml,79800,트레이더스,,2026-05-11,유튜브 @whiskeykey / QeGCpiC3ewI @ 379초 (프레임OCR),중,프레임OCR 보정 '더글렌그란트 익스플로레이션 넘버원 700m'→글렌그란트 익스플로레이션 No.1; id=w015; brand_score=0.69
더 글렌리벳 19년,349800,트레이더스,,2026-05-11,유튜브 @whiskeykey / QeGCpiC3ewI @ 451초 (프레임OCR),중,프레임OCR 보정 '더글렌리벤 19년스몰배치2700m'→더 글렌리벳 19년; id=w236; brand_score=0.8
달모어 2005 빈티지 700ml,678000,트레이더스,,2026-05-11,유튜브 @whiskeykey / QeGCpiC3ewI @ 457초 (프레임OCR),중,프레임OCR 보정 '달모어2005빈티지700ml'→달모어 2005 빈티지; id=w024; brand_score=1.0
발렌타인 21년 700ml,189800,트레이더스,,2026-05-11,유튜브 @whiskeykey / QeGCpiC3ewI @ 463초 (프레임OCR),중,프레임OCR 보정 '발렌타인21년700m'→발렌타인 21년; id=w047; brand_score=alias_exact
조니워커 블루라벨 750ml,259800,트레이더스,,2026-05-11,유튜브 @whiskeykey / QeGCpiC3ewI @ 469초 (프레임OCR),중,프레임OCR 보정 '조니워커블루라벨750m'→조니워커 블루라벨; id=w053; brand_score=0.8
라가불린 11년 오퍼맨 스위트피트 700ml,89800,트레이더스,,2026-05-04,유튜브 @whiskeypick / NjmXN3IY9CE @ 163초 (프레임OCR),중,프레임OCR 보정 '라가불린 11년스윗피트700m!'→라가불린 11년 오퍼맨 스위트피트; id=w036; brand_score=1.0
아란 셰리 캐스크 700ml,99800,트레이더스,,2026-05-04,유튜브 @whiskeypick / NjmXN3IY9CE @ 190초 (프레임OCR),중,프레임OCR 보정 '아란 쉐리캐스크700m'→아란 셰리 캐스크; id=w031; brand_score=0.67
탈리스커 와일드 블루 700ml,84800,트레이더스,,2026-05-04,유튜브 @whiskeypick / NjmXN3IY9CE @ 221초 (프레임OCR),중,프레임OCR 보정 '탈리스거와일드루700m'→탈리스커 와일드 블루; id=w089; brand_score=0.67
러셀스 리저브 싱글배럴 750ml,99800,트레이더스,,2026-05-04,유튜브 @whiskeypick / NjmXN3IY9CE @ 243초 (프레임OCR),중,프레임OCR 보정 '러셀 리저브싱글배절750ml'→러셀스 리저브 싱글배럴; id=w077; brand_score=0.84
글렌피딕 12년,69800,트레이더스,,2026-05-04,유튜브 @whiskeypick / NjmXN3IY9CE @ 310초 (프레임OCR),중,프레임OCR 보정 '글랜피닥12년700'→글렌피딕 12년; id=w005; brand_score=alias0.86
글렌피딕 12년 700ml,69800,트레이더스,,2026-05-04,유튜브 @whiskeypick / NjmXN3IY9CE @ 314초 (프레임OCR),중,프레임OCR 보정 '글랜피덕12년700m'→글렌피딕 12년; id=w005; brand_score=alias0.86
와일드터키 8년 1L,49980,트레이더스,,2026-05-04,유튜브 @whiskeypick / NjmXN3IY9CE @ 419초 (프레임OCR),중,프레임OCR 보정 '와일드터키 8년 1L'→와일드터키 8년; id=w073; brand_score=1.0
와일드터키 8년,49980,트레이더스,,2026-05-04,유튜브 @whiskeypick / NjmXN3IY9CE @ 424초 (프레임OCR),중,프레임OCR 보정 '와일드터키 8년 11'→와일드터키 8년; id=w073; brand_score=1.0
조니워커 블랙라벨 12년 700ml,49980,트레이더스,,2026-05-04,유튜브 @whiskeypick / NjmXN3IY9CE @ 445초 (프레임OCR),중,프레임OCR 보정 '조니워커불랙라벨700ml'→조니워커 블랙라벨 12년; id=w050; brand_score=alias_exact
1792 스몰배치 750ml,44980,트레이더스,,2026-05-04,유튜브 @whiskeypick / NjmXN3IY9CE @ 537초 (프레임OCR),중,프레임OCR 보정 '1792스치750ml'→1792 스몰배치; id=w070; brand_score=0.86
발렌타인 파이니스트,28980,트레이더스,,2026-05-04,유튜브 @whiskeypick / NjmXN3IY9CE @ 702초 (프레임OCR),중,프레임OCR 보정 '발벤타인파이니스트1'→발렌타인 파이니스트; id=w043; brand_score=0.84
